 ,Label,Area,X,Y,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,M1_004.tif,18824533.333,2560.000,1838.333,5777.301,4148.674,0.000,1.000,1891.006,0.000,0.000,144.318,1103.000,1.393,0.718,1.000
2,M1_004.tif:0088-0327,35777.778,1089.927,295.841,215.895,211.000,73.179,1.000,215.902,318.500,120.000,74.784,210.869,1.023,0.977,0.997
3,M1_004.tif:0171-0263,28300.000,877.627,570.054,210.739,170.983,84.986,0.983,210.799,260.500,202.500,85.011,171.158,1.233,0.811,0.998
4,M1_004.tif:0114-0277,32755.556,924.339,380.808,226.772,183.910,83.150,0.983,226.777,273.000,148.000,82.823,184.131,1.233,0.811,1.001
5,M1_004.tif:0132-0376,34366.667,1255.011,442.448,253.758,172.436,123.555,0.946,253.777,355.500,101.000,123.481,172.525,1.472,0.680,0.999
6,M1_004.tif:0170-0333,40466.667,1113.333,569.238,227.046,226.931,90.000,0.998,227.236,300.529,177.191,10.892,227.236,1.001,0.999,1.000
7,M1_004.tif:0208-0136,54422.222,454.200,695.666,278.219,249.057,98.879,0.994,278.657,129.500,167.500,99.293,249.032,1.117,0.895,0.998
8,M1_004.tif:0236-0348,17033.333,1160.877,789.229,160.089,135.471,82.155,0.992,159.809,345.000,260.500,82.208,135.500,1.182,0.846,0.998
9,M1_004.tif:0268-0178,31333.333,595.000,896.667,241.287,165.342,149.969,0.946,241.868,147.000,251.000,150.255,165.451,1.459,0.685,1.000
10,M1_004.tif:0147-0186,34077.778,621.667,491.667,233.192,186.067,100.337,0.980,233.452,180.500,113.000,99.866,186.078,1.253,0.798,1.000
11,M1_004.tif:0639-0387,48166.667,1290.982,2132.514,270.460,226.753,116.561,0.988,270.565,369.000,603.500,116.723,226.879,1.193,0.838,0.997
12,M1_004.tif:0699-0412,46988.889,1375.000,2331.667,248.883,240.386,17.704,1.000,248.775,377.000,711.000,17.949,240.492,1.035,0.966,0.998
13,M1_004.tif:0779-0412,49300.000,1375.714,2598.296,263.202,238.489,60.859,0.996,263.381,393.500,814.000,60.840,238.503,1.104,0.906,1.001
14,M1_004.tif:0661-0537,53966.667,1791.704,2205.911,275.319,249.574,93.742,0.997,275.505,535.000,620.500,93.468,249.482,1.103,0.906,0.999
15,M1_004.tif:0658-0488,60755.556,1628.336,2194.973,295.248,262.004,83.747,0.996,295.221,483.500,702.500,83.517,261.787,1.127,0.887,1.001
16,M1_004.tif:0780-0618,46511.111,2062.599,2600.813,258.564,229.034,116.488,0.994,258.640,601.500,745.500,116.400,229.349,1.129,0.886,1.000
17,M1_004.tif:0618-0695,46666.667,2320.000,2061.667,267.668,221.983,120.303,0.988,267.540,675.500,584.000,120.719,221.980,1.206,0.829,1.002
18,M1_004.tif:0488-0439,27777.778,1464.909,1627.357,220.245,160.584,81.989,0.964,220.385,435.000,521.000,82.176,160.504,1.372,0.729,1.003
19,M1_004.tif:0510-0574,51477.778,1914.318,1702.294,284.939,230.027,68.282,0.982,285.044,558.500,550.500,68.385,230.410,1.239,0.807,0.999
20,M1_004.tif:0479-0635,35266.667,2117.518,1598.292,235.885,190.359,124.958,0.983,235.802,615.000,450.500,124.926,190.607,1.239,0.807,0.996
21,M1_004.tif:0416-0614,49688.889,2049.112,1388.305,279.760,226.144,31.679,0.983,279.846,579.000,438.500,31.608,226.209,1.237,0.808,1.001
22,M1_004.tif:0296-0511,46800.000,1704.111,990.021,259.288,229.812,141.113,0.994,259.513,481.000,272.500,140.995,229.977,1.128,0.886,0.999
23,M1_004.tif:0276-0573,33844.444,1913.363,922.673,237.266,181.619,131.595,0.972,237.376,550.500,250.000,131.299,181.999,1.306,0.765,0.999
