 ,Label,Area,X,Y,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,M6_002.tif:0074-0256,58822.222,856.460,248.000,280.884,266.639,143.867,0.997,281.464,222.773,49.609,144.019,266.812,1.053,0.949,1.001
2,M6_002.tif:0293-0022,43033.333,91.073,977.506,263.255,208.132,86.008,0.866,258.232,6.552,328.543,64.983,244.789,1.265,0.791,0.868
3,M6_002.tif:0492-0031,62788.889,115.198,1642.727,310.078,257.824,91.432,0.916,303.434,28.081,447.418,94.128,287.638,1.203,0.831,0.916
4,M6_002.tif:0468-0210,60377.778,700.582,1560.037,284.263,270.437,12.219,0.999,284.611,168.484,477.371,12.665,270.382,1.051,0.951,1.000
5,M6_002.tif:0387-0172,43200.000,575.848,1290.113,277.904,197.924,65.622,0.959,277.844,155.379,424.954,65.450,198.013,1.404,0.712,1.000
6,M6_002.tif:0285-0345,39577.778,1151.281,953.243,235.938,213.581,109.653,0.997,235.911,333.223,252.726,110.113,213.569,1.105,0.905,1.002
7,M6_002.tif:0292-0422,46477.778,1407.145,975.032,255.575,231.546,0.765,0.995,255.865,383.769,292.975,0.699,231.633,1.104,0.906,1.001
8,M6_002.tif:0010-0432,33233.333,1440.705,67.631,263.840,160.377,1.099,0.692,259.548,394.129,17.656,9.689,234.967,1.645,0.608,0.695
9,M6_002.tif:0190-0610,49900.000,2034.313,633.406,264.936,239.811,136.641,0.997,264.894,581.269,162.868,136.909,239.807,1.105,0.905,1.001
10,M6_002.tif:0345-0779,43966.667,2597.347,1153.042,248.463,225.306,98.065,0.995,248.864,774.089,308.887,97.927,225.295,1.103,0.907,1.002
11,M6_002.tif:0244-0902,57766.667,3007.812,812.652,271.300,271.105,98.228,0.999,271.446,861.619,242.841,178.603,271.446,1.001,0.999,1.000
12,M6_002.tif:0125-1062,45633.333,3541.119,417.977,241.161,240.927,102.000,1.000,241.115,1026.331,128.304,4.563,241.115,1.001,0.999,1.004
13,M6_002.tif:0363-1108,41300.000,3694.266,1210.588,247.791,212.215,64.876,0.988,248.331,1092.337,396.873,64.657,212.407,1.168,0.856,0.998
14,M6_002.tif:0421-1140,45166.667,3801.744,1405.612,248.800,231.142,143.002,0.997,249.020,1111.057,398.745,142.125,231.313,1.076,0.929,0.997
15,M6_002.tif:0452-0342,53755.556,1140.517,1508.548,283.287,241.606,24.233,0.990,283.532,303.271,469.883,24.027,241.578,1.173,0.853,1.000
16,M6_002.tif:0571-0365,63266.667,1219.966,1905.708,292.197,275.683,148.367,0.998,292.330,328.667,548.667,148.364,275.880,1.060,0.943,1.000
17,M6_002.tif:0645-0401,48100.000,1336.729,2152.253,273.524,223.903,43.670,0.985,273.487,371.333,674.000,43.683,224.084,1.222,0.819,0.997
18,M6_002.tif:0506-0481,62777.778,1605.549,1687.770,283.084,282.359,40.698,1.000,282.860,474.764,464.470,99.363,282.860,1.003,0.997,1.000
19,M6_002.tif:0661-0517,54866.667,1724.530,2203.333,264.363,264.252,0.000,1.000,264.332,499.182,625.749,117.245,264.332,1.000,1.000,1.001
20,M6_002.tif:0680-0898,67766.667,2995.594,2270.020,293.850,293.630,11.491,0.999,294.048,861.320,657.533,147.856,294.048,1.001,0.999,1.000
21,M6_002.tif:0561-0837,63655.556,2792.105,1872.105,284.781,284.600,63.057,0.999,284.947,821.677,522.028,111.968,284.947,1.001,0.999,1.001
22,M6_002.tif:0543-0613,55500.000,2045.504,1813.340,282.769,249.903,62.142,0.992,283.279,594.000,581.667,62.430,250.206,1.132,0.884,0.995
23,M6_002.tif:0564-0551,38922.222,1836.597,1882.312,237.076,209.035,141.600,0.993,237.039,523.333,542.333,141.089,209.365,1.134,0.882,0.996
24,M6_002.tif:0787-0581,39811.111,1938.733,2625.665,239.460,211.680,146.112,0.993,239.774,552.000,767.333,145.574,211.780,1.131,0.884,1.000
25,M6_002.tif:0737-0710,39711.111,2367.818,2460.057,248.987,203.070,94.795,0.983,249.691,707.333,700.667,94.594,202.833,1.226,0.816,1.002
26,M6_002.tif:0340-0481,45144.444,1606.674,1135.635,250.751,229.230,156.888,0.995,250.944,447.333,326.000,157.068,229.652,1.094,0.914,1.002
27,M6_002.tif:0333-0582,36922.222,1942.370,1111.024,226.571,207.489,86.204,0.994,227.058,580.667,367.333,86.634,207.793,1.092,0.916,0.998
28,M6_002.tif:0386-0631,36400.000,2105.611,1288.879,225.130,205.863,130.990,0.997,225.147,609.333,361.333,131.399,206.044,1.094,0.914,0.998
29,M6_002.tif:0432-0778,61966.667,2595.622,1440.998,293.552,268.772,81.393,0.996,293.846,772.667,476.000,82.176,268.914,1.092,0.916,0.999
30,M6_002.tif:0748-0642,40922.222,2141.026,2493.289,254.847,204.451,169.671,0.982,255.014,604.667,741.333,169.963,204.380,1.246,0.802,0.998
31,M6_002.tif:0474-0569,47200.000,1897.700,1580.006,274.121,219.235,98.223,0.981,274.046,563.333,433.333,98.393,219.634,1.250,0.800,1.000
32,M6_002.tif:0515-0745,76811.111,2483.318,1717.853,358.935,272.470,169.123,0.971,359.568,692.000,505.333,169.315,272.516,1.317,0.759,0.999
33,M6_002.tif:0879-0855,82122.222,2852.154,2931.000,371.162,281.713,67.771,0.970,371.809,834.667,931.000,67.881,281.794,1.318,0.759,1.000
34,M6_002.tif:0919-0692,42133.333,2308.771,3063.287,245.661,218.373,12.831,0.994,245.855,656.667,927.000,12.529,218.422,1.125,0.889,0.999
35,M6_002.tif:0866-1144,56377.778,3815.595,2887.759,284.218,252.561,88.076,0.993,284.583,1143.333,909.000,88.210,252.830,1.125,0.889,0.998
36,M6_002.tif:0815-1258,57977.778,4193.333,2716.667,282.530,261.280,151.692,0.998,282.354,1220.667,795.000,151.821,261.522,1.081,0.925,0.993
37,M6_002.tif:0670-1230,48733.333,4100.674,2236.667,249.187,249.007,0.000,0.997,249.545,1201.384,694.931,39.741,249.545,1.001,0.999,0.998
38,M6_002.tif:0676-1156,67644.444,3855.693,2255.578,308.184,279.468,103.458,0.996,308.313,1146.000,631.667,103.335,279.738,1.103,0.907,1.002
39,M6_002.tif:0613-1005,34822.222,3351.143,2044.443,232.228,190.920,149.248,0.987,232.103,975.333,595.667,149.507,190.894,1.216,0.822,1.001
40,M6_002.tif:0480-0955,52133.333,3184.286,1603.353,284.156,233.598,134.504,0.984,284.418,925.333,450.667,134.683,233.921,1.216,0.822,0.996
41,M6_002.tif:1013-1127,45944.444,3757.914,3378.825,266.703,219.339,60.323,0.986,266.815,1107.333,1048.333,60.018,219.443,1.216,0.822,1.001
42,M6_002.tif:0956-1355,54311.111,4519.877,3188.762,275.742,250.782,176.031,0.996,276.281,1314.667,953.667,175.849,250.616,1.100,0.909,1.003
43,M6_002.tif:0788-1139,34466.667,3799.043,2630.141,230.293,190.558,74.765,0.987,230.180,1130.667,822.333,74.890,190.745,1.209,0.827,1.000
