 ,Label,Area,X,Y,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,M3_002.tif:0254-0171,23122.222,571.253,847.790,174.426,168.783,131.095,0.994,174.766,154.000,234.667,131.392,169.438,1.033,0.968,1.000
2,M3_002.tif:0469-0255,18222.222,850.000,1563.333,166.534,139.319,178.856,0.990,166.726,230.000,468.333,178.472,138.902,1.195,0.837,1.003
3,M3_002.tif:0435-0324,22511.111,1083.333,1450.000,184.713,155.170,160.512,0.988,185.526,298.667,426.000,161.131,154.564,1.190,0.840,1.000
4,M3_002.tif:0245-0096,13388.889,320.892,819.877,136.042,125.309,116.154,0.997,136.210,86.667,228.000,118.237,125.306,1.086,0.921,0.996
5,M3_002.tif:0198-0218,26655.556,727.812,661.079,204.793,165.723,131.524,0.986,204.662,198.000,175.333,131.479,165.573,1.236,0.809,0.998
6,M3_002.tif:0429-0237,24733.333,789.940,1431.161,197.106,159.769,139.897,0.982,197.478,214.000,410.667,140.937,159.761,1.234,0.811,1.000
7,M3_002.tif:0261-0407,27533.333,1357.658,871.010,187.485,186.983,127.690,1.000,187.314,380.668,252.480,161.634,187.314,1.003,0.997,1.004
8,M3_002.tif:0256-0452,37133.333,1508.849,854.484,217.639,217.239,45.000,1.000,217.415,449.340,223.891,95.855,217.415,1.002,0.998,1.001
9,M3_002.tif:0424-0572,25777.778,1908.825,1416.636,189.344,173.342,170.441,0.999,189.241,544.667,420.333,170.538,173.282,1.092,0.915,1.001
10,M3_002.tif:0404-0652,26522.222,2173.352,1348.004,195.009,173.167,152.721,0.994,194.796,626.000,391.000,152.850,173.614,1.126,0.888,0.996
11,M3_002.tif:0523-0553,28455.556,1844.324,1745.655,201.611,179.706,172.293,0.994,201.770,523.333,519.667,172.405,179.829,1.122,0.891,1.003
12,M3_002.tif:0532-0400,25500.000,1335.482,1775.428,190.832,170.137,141.231,0.995,190.917,378.667,514.333,140.194,170.156,1.122,0.892,1.003
13,M3_002.tif:0556-0381,16555.556,1273.333,1855.651,165.923,127.042,155.794,0.973,166.073,359.333,546.333,155.493,127.119,1.306,0.766,0.993
14,M3_002.tif:0308-0272,13700.000,908.782,1027.814,151.071,115.464,103.987,0.975,150.915,267.333,286.333,103.627,115.516,1.308,0.764,0.998
15,M3_002.tif:0288-0653,25644.444,2180.000,962.418,180.787,180.608,1.785E-11,0.998,180.917,629.858,301.061,27.176,180.917,1.001,0.999,1.000
16,M3_002.tif:0486-0477,19488.889,1593.333,1620.000,172.793,143.606,124.727,0.990,172.591,463.333,464.667,124.508,143.494,1.203,0.831,1.005
17,M3_002.tif:0483-0447,25644.444,1489.954,1611.316,198.451,164.532,176.000,0.987,198.227,417.333,481.333,176.143,164.807,1.206,0.829,0.998
18,M3_002.tif:0590-0577,24677.778,1923.355,1967.928,194.466,161.575,149.436,0.988,194.365,552.000,575.333,149.036,161.597,1.204,0.831,0.999
19,M3_002.tif:0241-0353,17800.000,1176.667,806.667,175.721,128.975,161.664,0.967,175.682,328.000,233.667,161.565,128.874,1.362,0.734,1.003
20,M3_002.tif:0407-0533,23644.444,1776.784,1357.658,180.616,166.680,94.791,0.999,180.671,530.667,380.333,94.939,166.537,1.084,0.923,0.998
21,M3_002.tif:0318-0414,23688.889,1381.082,1063.313,193.083,156.210,135.047,0.981,193.282,394.000,298.333,134.534,156.536,1.236,0.809,0.999
22,M3_002.tif:0843-0634,27566.667,2114.594,2813.411,220.899,158.891,12.674,0.958,221.030,602.000,851.333,12.779,159.334,1.390,0.719,1.001
23,M3_002.tif:0979-0633,16033.333,2111.161,3263.397,150.648,135.510,168.632,0.995,150.407,611.333,974.000,167.196,136.045,1.112,0.900,0.998
24,M3_002.tif:0924-0806,19733.333,2686.667,3080.000,167.028,150.426,46.116,0.998,166.592,788.667,942.000,46.081,150.685,1.110,0.901,0.997
25,M3_002.tif:0885-0784,27022.222,2615.743,2951.269,194.867,176.560,41.039,0.995,195.252,762.667,904.667,41.309,176.608,1.104,0.906,0.999
26,M3_002.tif:0795-0698,25888.889,2328.947,2651.205,191.117,172.474,54.518,0.994,191.163,682.000,818.667,54.462,172.909,1.108,0.902,1.003
