 ,Label,Area,X,Y,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,M6_004.tif:0175-0289,62522.222,964.562,586.643,282.325,281.965,5.349,1.000,282.137,254.597,200.091,34.699,282.137,1.001,0.999,1.001
2,M6_004.tif:0107-0820,61177.778,2736.667,358.333,283.217,275.033,91.161,0.996,283.412,820.000,65.000,91.348,275.929,1.030,0.971,0.996
3,M6_004.tif:0148-0724,62733.333,2413.333,495.000,291.211,274.284,41.506,0.998,290.689,691.000,177.000,40.815,275.051,1.062,0.942,0.999
4,M6_004.tif:0210-0670,57688.889,2235.962,700.738,281.642,260.798,125.739,0.996,281.711,646.000,176.000,125.853,261.371,1.080,0.926,0.997
5,M6_004.tif:0233-0575,35311.111,1919.122,779.962,219.969,204.390,53.388,0.997,220.334,556.000,260.500,53.303,204.426,1.076,0.929,0.998
6,M6_004.tif:0237-0505,72833.333,1684.015,793.260,316.163,293.312,54.241,0.997,316.390,477.500,276.500,54.217,293.546,1.078,0.928,1.002
7,M6_004.tif:0266-0433,43011.111,1445.896,886.683,242.566,225.767,89.497,0.995,243.339,433.500,302.500,89.608,225.769,1.074,0.931,1.000
8,M6_004.tif:0242-0341,44711.111,1139.298,807.415,262.597,216.788,116.710,0.985,263.112,324.000,207.000,116.727,216.739,1.211,0.826,0.998
9,M6_004.tif:0320-0258,49944.444,862.491,1066.795,277.970,228.770,110.547,0.986,277.974,244.000,281.000,110.717,228.981,1.215,0.823,1.000
10,M6_004.tif:0349-0192,36255.556,642.577,1166.690,217.753,211.993,41.544,0.999,218.104,169.000,372.500,43.452,212.003,1.027,0.974,1.000
11,M6_004.tif:0360-0111,49644.444,370.031,1202.669,272.108,232.295,37.071,0.990,272.341,78.500,385.500,37.291,232.350,1.171,0.854,1.000
12,M6_004.tif:0453-0376,56522.222,1256.703,1512.587,270.166,266.378,49.052,0.999,270.314,350.000,484.000,48.249,266.559,1.014,0.986,1.003
13,M6_004.tif:0410-0438,44877.778,1462.537,1367.482,262.022,218.074,29.804,0.987,261.927,404.500,429.500,29.338,218.386,1.202,0.832,0.999
14,M6_004.tif:0256-0056,60644.444,187.826,855.540,278.075,277.676,50.410,0.999,278.133,37.356,219.513,117.056,278.133,1.001,0.999,1.001
15,M6_004.tif:0227-0128,66600.000,427.862,758.804,291.323,291.078,61.044,1.000,291.323,100.358,261.237,50.194,291.323,1.001,0.999,1.001
16,M6_004.tif:0181-0065,43944.444,217.714,603.377,266.107,210.260,77.425,0.979,266.342,56.667,220.000,77.471,210.399,1.266,0.790,1.002
17,M6_004.tif:0449-0136,61444.444,453.241,1499.006,280.049,279.356,48.207,0.998,280.432,122.000,489.333,70.560,279.572,1.002,0.998,0.998
18,M6_004.tif:0526-0178,55555.556,594.545,1755.646,268.183,263.758,71.396,0.999,268.457,166.000,565.000,72.165,263.794,1.017,0.983,1.000
19,M6_004.tif:0483-0014,32766.667,69.796,1615.391,255.525,163.271,93.572,0.760,251.828,4.000,447.667,105.876,216.115,1.565,0.639,0.768
20,M6_004.tif:0580-0039,55533.333,132.452,1934.275,286.974,246.389,65.071,0.990,287.295,21.333,619.333,64.822,246.552,1.165,0.859,1.002
21,M6_004.tif:0670-0026,44577.778,101.790,2236.451,264.348,214.710,124.940,0.855,289.742,-10.667,646.667,147.529,223.653,1.231,0.812,0.874
22,M6_004.tif:0745-0069,52266.667,230.000,2483.333,271.027,245.540,27.050,0.995,271.311,32.667,763.333,26.775,245.771,1.104,0.906,1.001
23,M6_004.tif:0722-0147,46044.444,491.182,2410.150,249.603,234.875,3.046,0.998,249.375,110.000,725.333,3.576,235.412,1.063,0.941,1.002
24,M6_004.tif:0756-0221,52944.444,737.710,2521.018,267.222,252.266,103.042,0.999,267.342,212.000,717.333,103.459,252.373,1.059,0.944,1.001
25,M6_004.tif:0652-0191,32166.667,637.575,2175.801,225.108,181.939,124.800,0.984,225.154,172.000,625.000,124.749,181.932,1.237,0.808,1.001
26,M6_004.tif:0869-0134,55566.667,447.553,2898.357,266.320,265.656,176.413,1.000,266.130,131.189,909.302,85.602,266.130,1.002,0.998,1.001
27,M6_004.tif:0889-0215,51133.333,719.238,2962.372,271.277,239.994,89.396,0.993,271.672,215.500,929.500,89.648,240.164,1.130,0.885,0.997
28,M6_004.tif:0925-0175,31388.889,585.000,3085.000,212.390,188.171,81.022,0.995,212.629,170.500,957.000,80.981,187.969,1.129,0.886,0.999
29,M6_004.tif:0799-0109,35777.778,363.333,2666.667,226.749,200.899,48.318,0.994,227.058,87.000,826.000,49.764,200.725,1.129,0.886,0.997
30,M6_004.tif:0781-0304,35433.333,1014.318,2606.669,225.767,199.830,49.760,0.994,225.985,282.500,808.000,50.086,199.777,1.130,0.885,1.003
31,M6_004.tif:0928-0360,65444.444,1201.686,3095.017,307.158,271.282,138.883,0.993,307.318,325.500,898.500,139.399,271.677,1.132,0.883,1.004
32,M6_004.tif:0783-0448,25811.111,1494.221,2610.958,192.701,170.542,73.523,0.993,193.003,440.000,811.000,73.443,170.619,1.130,0.885,1.001
33,M6_004.tif:0948-0280,51177.778,934.121,3161.560,271.514,239.993,70.859,0.995,271.442,267.000,987.000,71.009,239.961,1.131,0.884,1.001
34,M6_004.tif:0914-0465,50077.778,1549.990,3047.411,268.818,237.190,158.679,0.994,268.644,427.500,899.500,158.529,237.488,1.133,0.882,1.003
35,M6_004.tif:0746-0339,13711.111,1130.867,2489.133,132.382,131.872,46.390,1.000,132.183,326.522,761.953,50.064,132.183,1.004,0.996,1.002
36,M6_004.tif:0693-0345,51600.000,1151.687,2311.645,273.038,240.622,46.651,0.992,273.577,317.500,723.500,46.975,240.759,1.135,0.881,0.998
37,M6_004.tif:0626-0389,60655.556,1297.661,2089.164,283.561,272.355,130.817,0.999,283.637,361.500,594.500,130.711,272.456,1.041,0.960,1.001
38,M6_004.tif:0250-0263,44555.556,876.697,834.207,261.427,217.001,139.816,0.987,261.412,233.000,225.000,139.914,217.230,1.205,0.830,1.001
39,M6_004.tif:0192-0912,56722.222,3042.703,640.849,294.819,244.967,179.055,0.986,295.042,868.500,191.500,179.029,245.177,1.204,0.831,1.001
40,M6_004.tif:0200-0823,58444.444,2745.815,669.207,273.068,272.510,132.348,1.000,272.815,783.482,208.037,10.258,272.815,1.002,0.998,0.998
41,M6_004.tif:0329-0842,49355.556,2807.407,1098.436,265.136,237.016,155.260,0.995,265.524,806.000,313.000,155.526,236.970,1.119,0.894,1.000
42,M6_004.tif:0427-0896,46566.667,2989.464,1426.768,257.628,230.140,159.384,0.995,257.881,860.500,414.500,159.574,230.150,1.119,0.893,1.003
43,M6_004.tif:0448-0740,53033.333,2467.531,1493.316,275.133,245.424,42.002,0.996,275.020,709.500,475.500,41.807,245.446,1.121,0.892,1.002
44,M6_004.tif:0382-0710,28455.556,2367.763,1274.076,212.527,170.476,27.696,0.983,212.459,682.000,397.000,27.570,170.516,1.247,0.802,0.998
45,M6_004.tif:0496-0653,56988.889,2176.688,1656.649,279.634,259.484,39.086,0.998,279.563,620.500,523.500,39.193,259.775,1.078,0.928,1.002
46,M6_004.tif:0444-0579,64911.111,1932.196,1482.373,311.374,265.428,61.153,0.991,311.254,557.333,485.667,61.422,265.608,1.173,0.852,1.001
47,M6_004.tif:0648-0511,54911.111,1704.547,2159.958,264.496,264.332,83.272,1.000,264.444,490.356,681.666,58.072,264.444,1.001,0.999,1.000
48,M6_004.tif:0805-0570,55444.444,1902.203,2683.372,266.027,265.364,87.644,0.999,265.850,554.950,841.650,66.789,265.850,1.002,0.998,0.999
49,M6_004.tif:0722-0559,50611.111,1864.467,2408.797,266.728,241.595,124.816,0.996,266.898,536.667,689.667,124.484,241.693,1.104,0.906,1.000
50,M6_004.tif:0857-0748,61177.778,2495.512,2857.812,293.286,265.590,2.087,0.995,293.544,704.667,859.000,2.169,265.822,1.104,0.906,0.998
51,M6_004.tif:0593-0663,71011.111,2211.108,1978.828,305.926,295.542,101.876,0.999,306.151,656.000,548.333,99.189,295.592,1.035,0.966,1.002
52,M6_004.tif:0656-0610,46866.667,2035.590,2188.807,260.224,229.312,39.822,0.994,260.342,580.667,681.667,39.806,229.450,1.135,0.881,1.000
53,M6_004.tif:0545-0358,43422.222,1193.333,1820.000,244.320,226.289,169.304,0.997,244.495,322.000,539.000,168.996,226.429,1.080,0.926,1.003
54,M6_004.tif:0533-0287,37022.222,956.667,1780.000,232.673,202.594,26.563,0.993,232.570,256.000,550.000,27.300,202.903,1.148,0.871,1.002
55,M6_004.tif:0548-0573,56777.778,1911.667,1826.667,279.442,258.700,55.482,0.998,279.384,549.000,582.000,54.224,258.883,1.080,0.926,1.001
56,M6_004.tif:0693-0733,56766.667,2446.635,2312.269,279.612,258.492,66.758,0.997,279.559,717.000,732.000,66.084,259.045,1.082,0.924,1.000
57,M6_004.tif:0783-0702,53955.556,2342.261,2612.195,272.375,252.220,68.649,0.998,272.356,687.667,821.667,68.459,252.370,1.080,0.926,0.999
58,M6_004.tif:0863-0840,68600.000,2803.492,2878.851,307.048,284.464,3.443,0.997,307.182,795.000,866.333,3.318,284.640,1.079,0.926,0.999
59,M6_004.tif:0812-0916,57166.667,3054.426,2708.740,280.167,259.798,69.638,0.997,280.432,902.333,852.333,70.560,259.854,1.078,0.927,1.002
60,M6_004.tif:0700-0827,54444.444,2760.086,2335.651,273.620,253.347,3.445,0.997,273.776,787.000,703.000,3.257,253.686,1.080,0.926,1.000
61,M6_004.tif:0648-1040,68666.667,3468.789,2162.241,307.157,284.640,97.598,0.997,307.358,1034.333,603.000,97.896,284.804,1.079,0.927,1.001
62,M6_004.tif:0717-1077,53366.667,3589.961,2392.109,270.810,250.909,48.972,0.997,270.929,1050.333,748.333,48.991,251.048,1.079,0.927,1.000
63,M6_004.tif:0565-0988,43633.333,3294.458,1886.606,245.321,226.462,21.455,0.996,245.130,954.333,580.000,22.380,227.143,1.083,0.923,0.997
64,M6_004.tif:0672-0901,45988.889,3006.623,2241.307,263.826,221.945,132.856,0.986,264.155,875.000,643.333,132.955,222.434,1.189,0.841,0.996
65,M6_004.tif:0728-0973,23777.778,3244.455,2427.998,189.812,159.499,64.249,0.987,189.841,961.000,754.000,64.335,159.857,1.190,0.840,1.001
66,M6_004.tif:0598-0737,50466.667,2460.000,1996.667,276.034,232.783,45.339,0.987,276.575,709.000,628.667,45.651,232.893,1.186,0.843,0.999
67,M6_004.tif:0524-0728,50422.222,2430.000,1746.667,275.633,232.917,175.673,0.987,276.450,687.667,520.667,175.389,232.787,1.183,0.845,1.001
68,M6_004.tif:0374-0919,46900.000,3065.614,1247.861,266.316,224.226,148.352,0.989,266.417,885.667,353.333,148.299,224.339,1.188,0.842,0.999
69,M6_004.tif:0431-0794,34211.111,2648.993,1438.939,227.536,191.437,27.377,0.988,227.602,764.333,447.333,27.316,191.654,1.189,0.841,1.003
70,M6_004.tif:0348-0982,24888.889,3274.548,1162.284,193.759,163.551,95.348,0.988,194.149,979.667,319.667,95.254,163.485,1.185,0.844,0.998
71,M6_004.tif:0490-1007,51244.444,3356.667,1633.333,265.351,245.887,78.289,0.998,265.414,999.000,529.000,78.408,245.971,1.079,0.927,1.005
72,M6_004.tif:0416-1014,42822.222,3382.204,1387.797,253.341,215.216,49.107,0.988,253.577,989.667,445.000,48.909,215.555,1.177,0.850,0.999
73,M6_004.tif:0338-1128,48766.667,3762.354,1126.632,270.169,229.825,153.202,0.990,270.317,1092.333,320.000,153.646,229.786,1.176,0.851,1.002
74,M6_004.tif:0332-1045,54422.222,3485.423,1108.885,285.738,242.504,164.447,0.989,285.726,1004.333,321.333,164.667,242.884,1.178,0.849,0.998
75,M6_004.tif:0260-1075,45944.444,3585.545,867.750,262.345,222.982,115.087,0.990,262.458,1059.000,224.667,115.046,223.104,1.177,0.850,1.000
76,M6_004.tif:0256-1136,63200.000,3790.000,853.333,286.888,280.489,57.928,0.998,287.277,1112.333,291.333,55.081,280.653,1.023,0.978,0.996
77,M6_004.tif:0216-1062,44088.889,3543.333,720.000,252.634,222.201,95.776,0.993,252.523,1059.000,178.333,96.062,222.682,1.137,0.880,0.999
78,M6_004.tif:0214-1218,49700.000,4059.985,715.592,267.821,236.277,95.945,0.992,268.227,1213.667,174.667,96.183,236.530,1.134,0.882,1.000
79,M6_004.tif:0236-1295,57133.333,4317.677,787.755,287.407,253.106,114.891,0.994,287.295,1277.000,197.333,115.178,253.345,1.136,0.881,1.000
80,M6_004.tif:0327-1313,56155.556,4377.821,1092.171,284.565,251.259,116.271,0.991,285.225,1294.333,289.333,116.365,251.519,1.133,0.883,1.001
81,M6_004.tif:0300-1360,54233.333,4535.602,1001.315,279.736,246.847,105.859,0.994,279.912,1349.000,260.000,106.133,246.834,1.133,0.882,1.001
82,M6_004.tif:0323-1446,55088.889,4823.333,1080.000,281.874,248.840,179.860,0.993,282.231,1404.667,323.667,179.549,248.879,1.133,0.883,1.000
83,M6_004.tif:0270-1433,57577.778,4779.112,901.064,288.648,253.978,40.658,0.993,288.521,1400.667,298.333,40.314,254.426,1.137,0.880,0.999
84,M6_004.tif:0489-1417,52955.556,4724.282,1632.169,272.543,247.393,59.649,0.994,272.890,1396.667,525.000,59.676,247.922,1.102,0.908,0.997
85,M6_004.tif:0589-1442,46922.222,4808.820,1965.607,299.550,199.443,20.876,0.940,299.629,1400.667,605.667,20.854,199.653,1.502,0.666,1.001
86,M6_004.tif:0569-1276,43433.333,4254.525,1897.740,250.652,220.629,75.062,0.994,250.649,1266.667,605.667,75.101,220.724,1.136,0.880,1.001
87,M6_004.tif:0641-1127,64922.222,3758.838,2136.735,306.523,269.675,80.734,0.994,306.514,1120.000,686.333,80.401,269.920,1.137,0.880,1.001
88,M6_004.tif:0523-1219,55866.667,4065.688,1744.423,284.196,250.291,58.692,0.994,284.323,1197.333,559.667,58.422,250.378,1.135,0.881,0.999
89,M6_004.tif:0103-1378,60611.111,4595.573,345.596,287.601,268.331,75.117,0.998,287.870,1367.333,145.333,74.784,268.354,1.072,0.933,0.998
90,M6_004.tif:0157-1474,51777.778,4915.409,524.644,277.166,237.856,35.028,0.989,277.449,1440.667,181.333,35.218,238.273,1.165,0.858,0.999
91,M6_004.tif:0210-1509,33555.556,5027.104,704.055,221.344,193.022,52.404,0.942,228.900,1482.000,231.333,36.314,196.579,1.147,0.872,0.955
92,M6_004.tif:0077-1123,57677.778,3745.478,256.740,292.130,251.386,174.321,0.991,292.541,1080.000,72.667,174.333,251.234,1.162,0.861,0.998
93,M6_004.tif:0138-1176,56922.222,3921.138,462.212,290.548,249.445,135.338,0.991,290.704,1145.333,108.000,135.310,249.656,1.165,0.859,1.000
94,M6_004.tif:0050-1193,46088.889,3977.845,168.828,261.547,224.366,144.723,0.992,261.430,1161.333,28.000,144.689,224.516,1.166,0.858,1.000
95,M6_004.tif:0085-1446,41244.444,4823.290,285.642,237.417,221.189,90.858,0.997,237.788,1446.667,50.000,90.536,221.114,1.073,0.932,1.000
96,M6_004.tif:0446-1503,46400.000,5007.204,1488.264,259.801,227.398,137.692,0.948,269.851,1468.667,426.333,149.845,228.842,1.142,0.875,0.956
97,M6_004.tif:0410-1455,16877.778,4849.988,1369.009,159.234,134.955,48.836,0.992,159.087,1439.333,428.667,48.965,134.910,1.180,0.848,0.999
98,M6_004.tif:0504-1092,20200.000,3643.357,1680.897,174.152,147.684,60.709,0.990,174.200,1080.000,527.000,60.164,147.727,1.179,0.848,1.002
99,M6_004.tif:0593-1071,48822.222,3571.157,1977.747,270.717,229.622,83.353,0.991,270.683,1066.667,633.667,83.400,229.547,1.179,0.848,0.999
100,M6_004.tif:1003-1096,54500.000,3655.000,3345.000,285.953,242.668,80.943,0.987,286.628,1090.000,1046.000,81.304,243.069,1.178,0.849,0.998
101,M6_004.tif:0517-0468,35533.333,1561.667,1726.667,242.426,186.624,43.336,0.974,242.876,442.000,543.000,43.332,186.448,1.299,0.770,1.003
102,M6_004.tif:0616-0946,27611.111,3155.000,2055.000,224.519,156.581,83.974,0.953,224.549,943.000,650.000,84.036,156.773,1.434,0.697,0.997
103,M6_004.tif:0214-0978,29000.000,3261.667,716.667,195.204,189.156,118.305,1.000,195.306,965.000,189.000,117.440,189.166,1.032,0.969,1.000
