 ,Label,Area,X,Y,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,M10_004.tif:0520-0315,4444.444,1053.333,1736.667,75.225,75.225,0.000,0.988,75.686,308.204,512.747,133.366,75.686,1.000,1.000,1.000
2,M10_004.tif:0552-0375,6722.222,1251.259,1842.488,101.504,84.322,100.693,0.986,101.568,372.667,537.667,100.081,84.453,1.204,0.831,1.003
3,M10_004.tif:0750-0239,5155.556,799.181,2502.407,81.770,80.277,77.757,1.000,81.498,237.333,762.667,78.996,80.133,1.019,0.982,1.007
4,M10_004.tif:0959-0343,2911.111,1145.000,3196.667,72.137,51.382,101.738,0.950,71.957,341.000,948.500,103.392,52.210,1.404,0.712,0.989
5,M10_004.tif:0922-0329,2244.444,1099.191,3076.040,53.630,53.286,64.750,1.000,53.800,327.500,915.000,106.189,52.977,1.006,0.994,0.995
6,M10_004.tif:0904-0323,3900.000,1078.333,3015.000,70.874,70.063,48.814,0.994,71.259,321.500,915.000,79.216,70.169,1.012,0.989,0.994
7,M10_004.tif:0859-0371,5411.111,1237.635,2865.000,83.746,82.268,90.000,1.000,83.483,370.500,872.000,86.566,82.207,1.018,0.982,1.003
8,M10_004.tif:0821-0283,5200.000,945.000,2740.000,86.294,76.725,144.880,0.992,86.023,273.000,814.500,144.462,77.276,1.125,0.889,1.000
9,M10_004.tif:0772-0464,4511.111,1550.000,2575.000,76.306,75.272,90.000,1.000,75.572,459.578,782.455,61.424,75.572,1.014,0.986,1.005
10,M10_004.tif:0676-0519,3455.556,1732.438,2255.718,72.432,60.743,26.309,0.994,72.303,510.000,681.500,25.974,60.564,1.192,0.839,1.003
11,M10_004.tif:0650-0513,4588.889,1713.087,2167.663,82.911,70.470,17.035,0.978,83.815,502.000,654.000,17.354,70.506,1.177,0.850,0.998
12,M10_004.tif:0510-0627,4144.444,2091.747,1702.551,73.255,72.034,81.210,0.990,73.049,616.581,511.663,4.778,73.049,1.017,0.983,1.000
13,M10_004.tif:0694-0720,7500.000,2400.057,2314.951,101.537,94.047,41.200,1.000,101.598,708.500,704.500,41.009,93.546,1.080,0.926,1.004
14,M10_004.tif:0707-0746,6700.000,2487.554,2357.172,96.024,88.839,60.094,1.000,96.177,739.500,720.000,62.103,88.554,1.081,0.925,1.008
15,M10_004.tif:0679-0762,6233.333,2540.882,2263.229,92.962,85.374,134.004,0.989,93.289,753.000,668.500,131.379,85.895,1.089,0.918,0.990
16,M10_004.tif:0834-0631,7133.333,2104.185,2780.156,97.000,93.633,97.025,0.996,97.025,630.000,819.500,94.927,93.987,1.036,0.965,1.002
17,M10_004.tif:0824-0694,6711.111,2313.333,2750.000,93.954,90.947,80.438,1.000,93.868,690.000,838.500,73.496,90.928,1.033,0.968,1.002
18,M10_004.tif:0954-0582,6688.889,1940.166,3180.615,96.938,87.856,61.283,0.995,96.968,575.000,967.000,61.232,88.053,1.103,0.906,1.004
19,M10_004.tif:0801-0748,6777.778,2495.907,2671.448,97.673,88.353,81.981,1.000,97.368,747.000,816.000,83.118,88.416,1.105,0.905,0.998
20,M10_004.tif:0831-0746,7133.333,2488.333,2773.333,100.154,90.685,92.449,0.993,100.222,745.500,817.000,93.814,91.007,1.104,0.905,1.005
21,M10_004.tif:0968-0791,6555.556,2640.209,3229.096,95.699,87.219,96.330,0.996,95.931,790.000,954.500,97.989,87.111,1.097,0.911,1.004
22,M10_004.tif:0927-0932,5933.333,3109.919,3092.422,91.095,82.930,147.798,0.985,91.788,921.000,921.000,150.642,83.349,1.098,0.910,0.998
23,M10_004.tif:0907-0944,4155.556,3148.574,3026.043,76.137,69.494,135.627,0.988,76.685,936.000,900.000,137.643,69.634,1.096,0.913,0.992
24,M10_004.tif:0866-0977,4977.778,3256.667,2886.667,79.611,79.611,0.000,1.000,79.512,966.023,861.335,156.976,79.512,1.000,1.000,0.996
25,M10_004.tif:0801-1014,4744.444,3381.667,2671.183,84.663,71.351,90.000,0.983,85.000,1014.500,788.500,90.000,71.547,1.187,0.843,0.995
26,M10_004.tif:0829-0914,8155.556,3050.118,2765.976,110.609,93.880,162.350,0.986,111.268,899.000,825.000,163.465,93.657,1.178,0.849,1.004
27,M10_004.tif:0710-0992,6088.889,3306.667,2368.333,96.455,80.375,31.186,0.986,96.148,980.000,718.500,33.690,80.930,1.200,0.833,0.998
28,M10_004.tif:0919-0978,4488.889,3263.333,3065.693,76.720,74.497,90.000,0.999,76.830,976.500,908.500,102.529,74.475,1.030,0.971,1.016
29,M10_004.tif:0847-0942,4811.111,3141.721,2825.978,84.768,72.264,157.209,0.990,84.278,931.000,842.500,155.462,72.881,1.173,0.852,1.000
30,M10_004.tif:0632-1022,4655.556,3409.097,2108.333,77.118,76.865,0.000,1.000,76.830,1014.695,640.742,45.659,76.830,1.003,0.997,1.004
