 ,Label,Area,X,Y,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,M7_004.tif,18824533.333,2560.000,1838.333,5777.301,4148.674,0.000,1.000,1891.006,0.000,0.000,144.318,1103.000,1.393,0.718,1.000
2,M7_004.tif:0644-0209,7955.556,696.508,2147.481,112.562,89.989,140.465,0.983,112.460,196.000,633.500,140.412,89.999,1.251,0.799,0.997
3,M7_004.tif:0501-0229,5388.889,763.405,1671.729,92.011,74.571,138.550,0.981,92.195,218.500,492.500,139.399,74.646,1.234,0.810,1.002
4,M7_004.tif:0429-0225,5755.556,752.342,1431.551,95.805,76.491,79.616,0.985,95.117,223.000,443.500,78.887,77.012,1.252,0.798,1.004
5,M7_004.tif:0320-0210,4433.333,701.767,1069.971,84.391,66.887,16.385,0.988,83.333,198.500,324.500,16.260,67.471,1.262,0.793,1.015
6,M7_004.tif:0235-0257,3922.222,857.672,785.000,70.717,70.618,90.000,1.000,70.494,254.196,245.623,73.211,70.494,1.001,0.999,1.001
7,M7_004.tif:0251-0310,6788.889,1035.933,837.488,93.192,92.753,24.646,1.000,92.886,297.248,247.810,165.707,92.886,1.005,0.995,1.004
8,M7_004.tif:0189-0365,7400.000,1220.000,630.000,98.838,95.327,107.799,0.998,98.939,358.000,176.500,122.619,95.450,1.037,0.964,1.000
9,M7_004.tif:0363-0485,8733.333,1618.397,1211.628,116.817,95.188,32.065,0.988,116.619,470.500,372.500,30.964,95.079,1.227,0.815,1.005
10,M7_004.tif:0446-0595,9822.222,1983.296,1489.204,123.565,101.210,63.951,0.987,123.749,587.000,463.500,64.470,100.892,1.221,0.819,0.997
11,M7_004.tif:0956-0271,10355.556,905.919,3187.550,127.104,103.735,48.513,0.980,127.475,259.000,970.500,48.180,103.930,1.225,0.816,0.999
12,M7_004.tif:0956-0579,7944.444,1932.445,3188.389,111.367,90.827,73.042,0.987,111.268,575.000,972.500,73.465,90.716,1.226,0.816,0.999
13,M7_004.tif:0680-0344,8433.333,1146.704,2267.587,114.721,93.598,21.529,0.989,114.516,328.000,686.500,21.337,93.364,1.226,0.816,1.011
14,M7_004.tif:0224-0526,7177.778,1755.831,747.503,106.541,85.780,135.000,0.982,106.066,515.500,213.000,135.000,86.475,1.242,0.805,0.998
15,M7_004.tif:0189-0528,6377.778,1763.188,632.549,93.935,86.448,117.242,0.991,94.060,522.000,177.500,119.745,86.955,1.087,0.920,1.000
16,M7_004.tif:0158-0535,5944.444,1783.386,528.944,95.339,79.387,122.199,0.986,95.757,527.500,146.500,121.477,79.098,1.201,0.833,1.001
17,M7_004.tif:0116-0462,7311.111,1539.975,388.982,106.105,87.732,116.340,0.993,105.843,455.000,102.500,116.162,87.429,1.209,0.827,1.002
18,M7_004.tif:0155-0402,11422.222,1341.796,517.708,132.766,109.541,12.349,0.982,133.052,383.000,159.500,12.295,109.904,1.212,0.825,0.999
19,M7_004.tif:0985-0696,7911.111,2321.667,3283.333,110.431,91.213,175.772,0.991,110.202,680.000,984.000,176.532,91.029,1.211,0.826,0.999
20,M7_004.tif:0908-0908,5133.333,3027.352,3028.304,88.971,73.461,101.374,0.995,88.585,905.500,895.500,101.944,73.173,1.211,0.826,1.013
21,M7_004.tif:0910-0936,9655.556,3121.076,3035.000,110.898,110.857,90.000,0.998,111.018,933.119,894.144,100.838,111.018,1.000,1.000,1.003
22,M7_004.tif:0970-0819,8755.556,2731.726,3235.042,115.163,96.801,143.907,0.998,114.698,805.500,960.500,144.462,96.324,1.190,0.841,1.012
23,M7_004.tif:0863-1018,10322.222,3394.953,2879.177,125.368,104.833,94.561,0.985,125.399,1017.000,845.000,94.574,105.312,1.196,0.836,0.998
24,M7_004.tif:0760-1018,7822.222,3395.805,2535.956,108.627,91.686,73.531,0.992,108.756,1014.500,776.500,74.899,91.334,1.185,0.844,0.994
25,M7_004.tif:0485-1151,9555.556,3839.341,1617.578,120.721,100.782,100.233,0.990,120.301,1148.500,467.500,100.376,101.030,1.198,0.835,1.007
26,M7_004.tif:0138-1079,9522.222,3599.123,460.006,118.833,102.026,100.397,0.995,118.662,1076.500,120.500,100.521,101.890,1.165,0.859,1.006
27,M7_004.tif:0216-1006,6088.889,3355.712,720.675,94.871,81.717,66.743,0.992,95.015,1001.500,229.500,68.385,81.585,1.161,0.861,0.994
28,M7_004.tif:0330-1053,6966.667,3510.917,1103.235,101.579,87.324,1.064,0.990,101.721,1038.000,331.500,1.878,87.344,1.163,0.860,0.998
29,M7_004.tif:0071-1133,9888.889,3776.667,238.333,112.763,111.658,0.000,1.000,112.052,1116.266,69.924,174.621,112.052,1.010,0.990,1.003
30,M7_004.tif:0097-1073,8655.556,3578.825,324.987,118.828,92.744,115.492,0.981,118.521,1066.000,81.500,115.844,92.783,1.281,0.780,1.003
31,M7_004.tif:0319-0776,7733.333,2589.195,1063.319,112.233,87.732,100.325,0.979,112.114,773.500,302.500,101.143,87.767,1.279,0.782,0.999
32,M7_004.tif:0264-0754,4266.667,2516.649,880.816,83.478,65.077,114.171,0.974,83.483,749.500,253.000,116.053,65.354,1.283,0.780,0.996
33,M7_004.tif:0465-0893,8566.667,2978.346,1550.076,118.577,91.986,98.303,0.973,118.369,890.500,447.500,99.728,92.664,1.289,0.776,0.992
34,M7_004.tif:0683-1020,8822.222,3400.000,2280.000,119.956,93.641,168.420,0.980,119.675,1002.500,680.000,167.125,93.687,1.281,0.781,0.996
35,M7_004.tif:0699-1074,11300.000,3581.667,2331.667,135.701,106.024,143.261,0.972,136.015,1058.000,687.500,143.973,106.478,1.280,0.781,1.002
36,M7_004.tif:0804-0815,8633.333,2719.856,2680.912,117.981,93.170,17.420,0.977,118.615,799.000,809.500,17.162,92.857,1.266,0.790,1.001
37,M7_004.tif:0563-0607,6088.889,2025.000,1880.000,100.047,77.489,156.266,0.971,99.889,594.000,557.500,154.290,78.197,1.291,0.775,0.987
38,M7_004.tif:0501-0677,7700.000,2256.592,1672.807,102.486,95.662,118.682,0.994,102.862,670.000,488.000,116.980,95.727,1.071,0.933,1.001
39,M7_004.tif:0908-0538,6222.222,1795.107,3029.161,100.042,79.191,135.444,0.977,100.180,528.000,898.000,134.326,79.336,1.263,0.792,0.999
40,M7_004.tif:0066-1386,11055.556,4622.414,220.792,133.152,105.717,9.099,0.979,133.437,1367.000,69.500,9.345,105.674,1.260,0.794,0.997
41,M7_004.tif:0597-1471,9077.778,4905.816,1991.867,120.454,95.955,69.316,0.981,120.750,1465.500,614.500,69.814,95.626,1.255,0.797,0.999
42,M7_004.tif:0576-1484,5800.000,4946.667,1920.000,96.912,76.201,87.442,0.974,96.896,1483.000,590.500,86.055,76.736,1.272,0.786,1.004
43,M7_004.tif:0705-1454,8511.111,4849.430,2350.531,109.373,99.080,26.968,0.997,109.570,1440.000,712.500,26.175,98.884,1.104,0.906,1.002
44,M7_004.tif:0746-1491,8433.333,4970.077,2487.560,116.316,92.314,3.778,0.977,116.964,1473.500,747.500,4.086,91.999,1.260,0.794,0.992
45,M7_004.tif:0699-1322,8266.667,4406.667,2333.333,115.459,91.162,102.993,0.979,115.710,1318.500,683.000,101.634,91.013,1.267,0.790,0.993
46,M7_004.tif:0715-1221,7622.222,4070.962,2386.535,110.409,87.900,107.459,0.976,111.268,1216.500,700.000,106.535,87.519,1.256,0.796,1.004
47,M7_004.tif:0825-1296,8233.333,4322.553,2752.296,114.665,91.423,65.192,0.977,115.590,1289.500,841.500,65.283,90.918,1.254,0.797,1.000
48,M7_004.tif:0875-1296,6222.222,4320.958,2918.548,99.988,79.233,94.882,0.980,100.347,1295.000,860.500,94.764,78.928,1.262,0.792,1.003
49,M7_004.tif:0811-1473,6600.000,4910.606,2705.101,103.481,81.207,91.364,0.980,103.347,1473.000,796.000,90.924,81.288,1.274,0.785,1.001
50,M7_004.tif:0934-0982,6188.889,3273.917,3115.934,100.448,78.448,36.115,0.974,100.360,970.000,943.500,35.538,78.939,1.280,0.781,0.990
51,M7_004.tif:0581-1172,7222.222,3907.236,1937.662,107.679,85.399,2.685,0.974,108.449,1156.000,582.000,2.643,85.301,1.261,0.793,0.991
52,M7_004.tif:0450-1112,6433.333,3709.485,1502.766,94.744,86.456,112.918,0.995,95.015,1107.500,437.500,111.615,86.426,1.096,0.913,1.002
53,M7_004.tif:0047-0935,6755.556,3120.000,158.333,97.471,88.246,97.729,0.990,97.582,934.000,33.000,97.853,88.761,1.105,0.905,1.010
54,M7_004.tif:0049-1173,3222.222,3910.828,165.851,78.183,52.475,29.235,0.941,78.351,1163.000,55.500,29.291,52.463,1.490,0.671,0.983
55,M7_004.tif:0136-1298,8311.111,4327.807,454.389,117.723,89.889,1.025,0.977,117.799,1280.667,136.667,1.081,89.410,1.310,0.764,1.005
56,M7_004.tif:0566-1326,10955.556,4420.000,1890.000,120.786,115.485,12.792,0.999,120.267,1308.667,572.000,16.091,116.139,1.046,0.956,0.999
57,M7_004.tif:0736-0294,7333.333,982.293,2455.465,108.067,86.401,56.712,0.979,108.503,285.333,750.000,55.008,86.233,1.251,0.800,1.001
