 ,Label,Area,X,Y,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,M5_004.tif:0773-0201,6922.222,673.379,2578.922,99.430,88.641,37.126,0.990,99.847,189.500,782.000,33.425,88.788,1.122,0.891,1.006
2,M5_004.tif:0726-0208,13088.889,695.051,2421.638,136.829,121.796,27.177,0.990,137.275,190.500,736.500,29.055,122.070,1.123,0.890,0.998
3,M5_004.tif:0776-0442,9377.778,1473.973,2588.286,116.344,102.628,25.254,0.988,116.297,426.500,784.000,25.463,103.416,1.134,0.882,0.999
4,M5_004.tif:0851-0354,10700.000,1180.805,2838.247,123.600,110.224,136.143,0.994,123.884,340.500,839.000,137.726,110.162,1.121,0.892,0.998
5,M5_004.tif:0633-0198,9211.111,663.376,2112.459,115.134,101.864,49.384,0.996,114.807,188.000,647.000,50.301,102.090,1.130,0.885,0.995
6,M5_004.tif:0712-0387,12977.778,1291.555,2375.899,136.572,120.989,38.570,0.994,136.392,371.500,725.500,38.550,121.285,1.129,0.886,1.005
7,M5_004.tif:0607-0550,6933.333,1834.984,2025.694,99.043,89.131,166.381,0.991,99.847,536.000,604.000,165.500,88.788,1.111,0.900,0.998
8,M5_004.tif:0874-0539,10522.222,1797.587,2915.848,122.702,109.186,138.241,0.995,122.769,525.500,862.500,138.302,109.171,1.124,0.890,1.007
9,M5_004.tif:0836-0157,5755.556,523.250,2789.440,90.809,80.699,7.506,0.996,90.753,143.500,838.500,7.386,80.701,1.125,0.889,1.005
10,M5_004.tif:0718-0088,5544.444,294.466,2394.325,88.395,79.862,43.647,0.984,89.598,78.500,727.500,43.493,79.674,1.107,0.903,0.992
11,M5_004.tif:0583-0114,9166.667,381.562,1945.982,108.665,107.407,82.924,1.000,108.794,113.000,600.000,84.726,107.339,1.012,0.988,0.993
12,M5_004.tif:0650-0239,6988.889,797.485,2169.960,94.885,93.782,65.908,0.995,95.234,231.500,663.000,57.144,93.960,1.012,0.988,0.993
13,M5_004.tif:0559-0329,9066.667,1098.419,1865.923,117.875,97.934,19.614,0.989,117.627,313.000,566.000,20.746,98.086,1.204,0.831,1.007
14,M5_004.tif:0624-0255,6211.111,851.667,2081.667,103.498,76.409,57.892,0.967,103.548,247.000,637.500,56.821,76.335,1.355,0.738,1.004
15,M5_004.tif:0544-0169,7255.556,566.720,1814.949,96.781,95.454,83.545,0.989,96.667,165.907,558.410,73.603,96.667,1.014,0.986,0.992
16,M5_004.tif:0490-0106,4933.333,353.333,1635.000,88.340,71.104,145.178,0.982,88.757,95.000,483.000,145.713,70.737,1.242,0.805,1.007
17,M5_004.tif:0632-0046,6155.556,155.006,2107.196,98.933,79.221,37.502,0.985,99.009,34.500,641.000,36.098,78.907,1.249,0.801,1.010
18,M5_004.tif:0581-0349,9155.556,1166.667,1938.333,120.439,96.790,31.058,0.977,121.198,334.500,591.000,31.504,96.591,1.244,0.804,0.999
19,M5_004.tif:0288-0346,6244.444,1155.682,961.856,95.598,83.167,134.704,0.993,95.467,336.500,278.500,135.707,83.319,1.149,0.870,1.000
20,M5_004.tif:0342-0372,3933.333,1240.000,1140.000,75.816,66.056,145.951,0.987,76.012,363.000,335.000,142.125,66.340,1.148,0.871,0.992
21,M5_004.tif:0307-0479,8755.556,1599.315,1025.719,107.964,103.256,2.079,0.998,108.346,463.500,308.000,0.881,103.108,1.046,0.956,1.000
