 ,Label,Area,X,Y,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,M10_002.tif,18824533.333,2560.000,1838.333,5777.301,4148.674,0.000,1.000,1891.006,0.000,0.000,144.318,1103.000,1.393,0.718,1.000
2,M10_002.tif:0413-0294,3833.333,982.507,1376.565,70.022,69.703,5.226,0.993,70.141,284.609,410.520,166.367,70.141,1.005,0.995,1.001
3,M10_002.tif:0165-0436,5688.889,1454.609,550.000,85.413,84.804,90.000,1.000,84.707,424.773,159.728,155.486,84.707,1.007,0.993,1.014
4,M10_002.tif:0183-0454,3644.444,1514.289,612.866,68.567,67.675,145.353,0.994,68.358,444.862,187.762,22.528,68.358,1.013,0.987,1.002
5,M10_002.tif:0203-0471,5466.667,1572.608,678.882,83.730,83.128,125.796,0.999,83.481,460.069,207.957,20.036,83.481,1.007,0.993,0.999
6,M10_002.tif:0166-0604,5222.222,2015.397,554.858,89.449,74.334,173.809,0.993,89.450,591.333,165.000,173.581,73.917,1.203,0.831,0.996
7,M10_002.tif:0011-0579,6344.444,1929.472,40.190,93.503,86.393,8.510,0.972,92.923,566.750,18.500,29.554,89.428,1.082,0.924,0.975
8,M10_002.tif:0043-0637,5533.333,2125.850,145.857,85.626,82.280,102.624,1.000,85.408,636.500,31.000,95.599,82.195,1.041,0.961,0.997
9,M10_002.tif:0060-0654,3433.333,2181.667,201.667,68.160,64.135,117.676,0.997,67.495,651.000,51.000,110.225,64.956,1.063,0.941,1.000
10,M10_002.tif:0069-0673,3755.556,2245.000,233.333,71.362,67.007,151.087,0.994,70.711,666.000,62.500,135.000,68.051,1.065,0.939,0.991
11,M10_002.tif:0054-0796,4177.778,2655.638,180.700,74.233,71.657,124.283,0.998,74.424,790.500,45.000,124.046,71.624,1.036,0.965,0.999
12,M10_002.tif:0116-0768,5655.556,2560.023,387.475,86.623,83.129,86.572,0.997,86.619,765.500,129.000,78.906,83.360,1.042,0.960,1.004
13,M10_002.tif:0126-0383,4833.333,1276.747,422.693,79.909,77.013,82.236,0.997,80.087,380.500,138.500,77.989,77.074,1.038,0.964,1.003
