 ,Label,Area,X,Y,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,M10_004.tif,18824533.333,2560.000,1838.333,5777.301,4148.674,0.000,1.000,1891.006,0.000,0.000,144.318,1103.000,1.393,0.718,1.000
2,M10_004.tif:0278-0274,6522.222,913.819,926.919,103.353,80.350,125.718,0.973,103.788,265.000,265.500,126.072,80.299,1.286,0.777,1.001
3,M10_004.tif:0269-0343,5311.111,1145.886,897.503,82.807,81.664,142.077,1.000,82.226,331.699,266.623,167.700,82.226,1.014,0.986,0.997
4,M10_004.tif:0268-0321,4600.000,1070.000,895.000,86.782,67.490,118.894,0.986,86.474,315.000,257.000,117.553,67.094,1.286,0.778,1.010
5,M10_004.tif:0313-0193,6311.111,645.957,1045.023,102.478,78.413,5.131,0.969,102.157,178.500,315.000,5.618,79.262,1.307,0.765,0.996
6,M10_004.tif:0361-0326,5377.778,1089.353,1203.333,83.016,82.481,0.000,0.986,83.350,321.241,349.777,116.146,83.350,1.006,0.994,0.997
7,M10_004.tif:0376-0353,5555.556,1177.480,1256.633,86.590,81.690,173.007,0.989,86.619,340.500,374.500,168.906,82.586,1.060,0.943,0.992
8,M10_004.tif:0372-0378,5000.000,1262.600,1241.593,81.841,77.788,24.544,0.991,82.074,367.500,377.500,23.962,78.253,1.052,0.950,0.991
9,M10_004.tif:0357-0430,4577.778,1436.068,1191.610,81.907,71.161,165.771,0.985,81.735,419.000,354.000,163.413,72.024,1.151,0.869,0.995
10,M10_004.tif:0350-0451,5244.444,1505.699,1168.383,84.004,79.489,12.608,0.993,84.080,439.500,353.500,13.761,79.946,1.057,0.946,1.009
11,M10_004.tif:0351-0478,5200.000,1595.000,1170.000,83.166,79.610,0.000,1.000,83.333,466.000,351.000,0.000,79.236,1.045,0.957,0.992
12,M10_004.tif:0393-0487,5188.889,1623.794,1311.588,83.370,79.246,61.218,1.000,83.217,480.500,404.000,57.265,79.125,1.052,0.951,1.000
13,M10_004.tif:0453-0509,5233.333,1700.088,1510.860,83.664,79.644,59.239,0.999,83.749,503.500,464.000,58.841,79.631,1.050,0.952,0.995
14,M10_004.tif:0419-0204,4111.111,683.333,1396.667,82.689,63.302,164.168,0.973,83.333,193.000,415.500,163.740,62.697,1.306,0.766,1.008
15,M10_004.tif:0421-0238,4266.667,793.932,1403.932,73.900,73.512,134.670,0.997,73.824,229.371,414.632,143.301,73.824,1.005,0.995,0.992
16,M10_004.tif:0195-0384,5555.556,1281.747,651.707,89.081,79.406,151.669,0.993,89.443,372.500,189.500,153.435,79.248,1.122,0.891,0.984
17,M10_004.tif:0305-0226,7644.444,753.333,1020.000,120.453,80.805,0.639,0.945,120.046,208.000,306.500,1.591,81.156,1.491,0.671,0.996
18,M10_004.tif:0337-0027,5255.556,90.687,1124.937,90.245,74.149,89.394,0.990,90.015,27.000,351.000,88.939,74.095,1.217,0.822,1.011
19,M10_004.tif:0232-0016,4711.111,54.175,773.994,81.825,73.307,84.863,0.993,81.820,15.500,244.500,86.496,73.595,1.116,0.896,0.996
20,M10_004.tif:0191-0136,5377.778,453.333,640.000,87.778,78.006,36.311,0.991,87.496,126.000,200.500,40.365,78.701,1.125,0.889,0.994
21,M10_004.tif:0127-0162,4166.667,540.867,425.000,76.856,69.027,90.000,0.997,76.685,162.000,116.000,91.245,69.153,1.113,0.898,0.996
22,M10_004.tif:0046-0114,5811.111,382.208,154.962,88.996,83.138,67.873,1.000,88.710,109.000,58.500,64.398,83.284,1.070,0.934,1.006
23,M10_004.tif:0016-0133,5666.667,445.000,53.333,89.932,80.228,133.143,1.000,89.567,124.000,6.500,135.000,80.119,1.121,0.892,1.008
24,M10_004.tif:0029-0155,5444.444,519.531,96.667,87.295,79.410,2.198E-13,0.989,88.333,142.500,29.000,0.000,79.015,1.099,0.910,0.992
25,M10_004.tif:0033-0180,4188.889,603.470,112.560,77.209,69.078,39.809,1.000,77.046,172.000,41.000,38.853,68.919,1.118,0.895,1.008
26,M10_004.tif:0580-0145,6877.778,483.390,1936.115,93.729,93.429,45.468,1.000,93.289,141.054,567.325,106.379,93.289,1.003,0.997,1.002
27,M10_004.tif:0638-0203,6800.000,679.532,2126.667,93.155,92.943,90.000,0.998,93.169,200.803,624.339,102.175,93.169,1.002,0.998,0.998
28,M10_004.tif:0710-0161,6344.444,536.693,2367.697,90.556,89.204,85.761,0.995,90.139,151.346,700.783,135.560,90.139,1.015,0.985,0.996
29,M10_004.tif:0686-0156,4677.778,521.667,2288.333,77.175,77.175,0.000,1.000,76.739,155.373,675.044,95.620,76.739,1.000,1.000,1.010
30,M10_004.tif:0676-0193,4088.889,645.996,2254.991,80.576,64.611,42.735,0.966,81.326,185.000,685.000,44.170,65.089,1.247,0.802,0.988
31,M10_004.tif:0648-0226,6000.000,755.000,2162.599,87.531,87.277,0.000,1.000,87.448,222.592,661.272,72.667,87.448,1.003,0.997,0.995
32,M10_004.tif:0495-0125,7822.222,417.718,1650.000,99.844,99.751,180.000,1.000,99.736,119.018,481.400,114.620,99.736,1.001,0.999,1.000
33,M10_004.tif:0624-0341,7755.556,1136.667,2081.667,100.364,98.389,0.000,0.988,100.000,330.393,613.893,135.000,100.000,1.020,0.980,0.997
34,M10_004.tif:0663-0441,4355.556,1473.452,2212.594,79.408,69.837,40.859,0.991,79.669,432.500,671.000,37.349,69.859,1.137,0.879,1.004
35,M10_004.tif:0928-0393,6288.889,1311.013,3094.234,89.997,88.972,134.466,0.998,89.598,392.896,914.815,91.507,89.598,1.012,0.989,0.993
36,M10_004.tif:0898-0429,5755.556,1433.333,2993.333,89.962,81.459,97.358,0.998,90.247,429.000,884.500,94.236,81.107,1.104,0.905,1.002
37,M10_004.tif:0875-0505,5877.778,1684.130,2919.253,86.869,86.151,145.458,1.000,86.442,505.054,888.715,89.134,86.442,1.008,0.992,1.002
38,M10_004.tif:0832-0536,5488.889,1788.333,2773.333,89.141,78.400,167.005,1.000,88.944,523.500,829.000,167.005,77.995,1.137,0.879,0.998
39,M10_004.tif:0856-0608,7277.778,2028.827,2854.303,102.553,90.357,96.181,0.994,102.824,607.000,841.000,96.203,90.166,1.135,0.881,0.997
40,M10_004.tif:0770-0558,5355.556,1859.938,2567.580,93.397,73.010,92.461,0.981,93.360,557.667,756.333,91.364,72.837,1.279,0.782,1.004
41,M10_004.tif:0517-0602,6644.444,2006.667,1723.333,100.397,84.265,76.980,0.999,99.802,599.000,531.667,78.440,84.010,1.191,0.839,1.005
42,M10_004.tif:0455-0532,3655.556,1773.288,1517.746,74.843,62.189,24.422,0.985,74.536,522.000,460.333,26.565,62.742,1.203,0.831,0.994
43,M10_004.tif:0451-0554,4588.889,1849.076,1502.813,83.440,70.023,24.355,0.988,83.363,543.000,455.333,21.092,70.172,1.192,0.839,0.998
44,M10_004.tif:0444-0578,5311.111,1930.000,1481.667,90.295,74.892,24.181,0.981,90.027,566.667,450.000,24.034,75.782,1.206,0.829,1.002
45,M10_004.tif:0440-0604,4222.222,2016.184,1467.825,80.441,66.830,129.375,0.992,79.822,597.333,431.000,128.784,67.192,1.204,0.831,1.003
46,M10_004.tif:0422-0622,4022.222,2075.801,1407.606,74.422,68.814,57.933,0.990,74.145,617.333,432.000,60.362,69.712,1.081,0.925,0.996
47,M10_004.tif:0398-0635,6111.111,2117.873,1327.903,91.127,85.386,93.074,0.996,91.138,635.000,384.667,91.397,85.689,1.067,0.937,1.001
48,M10_004.tif:0478-0664,5122.222,2216.222,1593.843,90.382,72.158,164.602,0.987,90.281,651.667,475.000,166.477,71.861,1.253,0.798,1.004
49,M10_004.tif:0497-0708,5722.222,2362.858,1658.443,96.463,75.529,21.489,0.975,96.007,695.667,503.333,23.895,76.419,1.277,0.783,1.000
50,M10_004.tif:0437-0727,4600.000,2424.227,1458.728,82.860,70.685,124.280,0.992,83.207,720.333,427.333,124.114,70.245,1.172,0.853,1.007
