 ,Label,Area,X,Y,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,M2_002-1.tif,18824533.333,2560.000,1838.333,5777.301,4148.674,0.000,1.000,1891.006,0.000,0.000,144.318,1103.000,1.393,0.718,1.000
2,M2_002-1.tif:0247-0977,30055.556,3259.266,824.078,221.352,172.883,0.338,0.976,221.673,944.500,247.500,0.431,172.961,1.280,0.781,1.002
3,M2_002-1.tif:0444-0867,43288.889,2891.667,1480.000,265.863,207.314,156.363,0.979,265.686,831.000,428.000,156.329,207.302,1.282,0.780,0.999
4,M2_002-1.tif:0488-0789,43233.333,2632.545,1627.328,247.879,222.069,88.741,0.994,248.339,789.500,525.500,89.615,222.147,1.116,0.896,1.000
5,M2_002-1.tif:0541-0951,49677.778,3170.004,1803.304,265.897,237.881,81.567,0.996,265.874,945.500,580.500,82.073,237.832,1.118,0.895,1.000
6,M2_002-1.tif:0547-0752,28777.778,2507.580,1826.802,227.093,161.348,116.664,0.957,227.334,737.000,517.500,116.565,161.303,1.407,0.710,1.004
7,M2_002-1.tif:0477-0721,37866.667,2405.090,1590.839,224.640,214.625,74.752,1.000,224.753,713.500,510.000,76.273,214.465,1.047,0.955,0.998
8,M2_002-1.tif,27511.111,2558.333,1006.667,190.813,183.574,155.576,1.000,190.904,741.500,290.000,155.225,183.278,1.039,0.962,1.004
9,M2_002-1.tif:0450-1008,12177.778,3360.976,1499.872,143.292,108.207,40.907,0.975,142.994,992.000,464.000,40.746,108.101,1.324,0.755,1.003
10,M2_002-1.tif:0346-0829,35066.667,2765.886,1156.019,243.131,183.639,112.190,0.972,242.956,816.000,313.000,112.166,183.671,1.324,0.755,1.002
11,M2_002-1.tif:0488-0849,36988.889,2830.124,1627.619,231.728,203.237,133.696,0.993,232.241,825.000,463.000,133.546,203.076,1.140,0.877,0.998
12,M2_002-1.tif:0439-0951,20888.889,3170.846,1463.314,174.418,152.487,152.790,0.994,174.428,928.000,427.000,152.700,152.522,1.144,0.874,1.003
13,M2_002-1.tif:0372-0652,44744.444,2175.000,1241.667,270.941,210.268,121.862,0.978,271.006,631.000,338.000,121.931,209.969,1.289,0.776,1.003
14,M2_002-1.tif:0339-0616,46655.556,2055.000,1131.667,274.448,216.448,100.294,0.979,274.591,609.000,299.000,100.491,216.396,1.268,0.789,1.002
15,M2_002-1.tif:0304-0547,41700.000,1825.471,1015.527,230.565,230.278,111.298,0.999,230.608,515.595,291.706,157.995,230.608,1.001,0.999,0.999
16,M2_002-1.tif:0399-0391,42144.444,1305.534,1332.177,258.166,207.851,49.593,0.981,258.638,366.667,429.333,49.879,207.850,1.242,0.805,1.002
17,M2_002-1.tif:0398-0347,24300.000,1157.718,1328.803,196.294,157.619,175.011,0.981,196.362,318.000,396.000,174.806,157.803,1.245,0.803,1.001
18,M2_002-1.tif:0465-0406,45922.222,1353.298,1551.113,270.412,216.226,27.327,0.982,270.345,370.000,484.000,27.408,216.235,1.251,0.800,1.000
19,M2_002-1.tif:0435-0461,35622.222,1537.767,1452.228,237.776,190.749,17.923,0.981,238.234,427.333,446.667,17.928,190.551,1.247,0.802,1.002
20,M2_002-1.tif:0385-0537,57922.222,1792.252,1283.373,303.172,243.258,29.526,0.982,303.478,498.000,407.333,29.381,243.110,1.246,0.802,1.000
21,M2_002-1.tif:0475-0658,28633.333,2196.630,1584.411,212.840,171.289,160.780,0.980,213.634,628.667,465.000,161.188,171.138,1.243,0.805,1.002
22,M2_002-1.tif:0519-0596,48122.222,1988.820,1730.021,276.272,221.778,164.327,0.982,276.566,556.667,508.000,164.624,221.552,1.246,0.803,1.002
23,M2_002-1.tif:0579-0620,38633.333,2066.771,1932.328,247.929,198.401,170.437,0.980,248.064,583.333,573.333,170.200,198.720,1.250,0.800,1.002
24,M2_002-1.tif:0604-0493,24900.000,1646.772,2015.452,189.965,166.892,38.083,0.993,190.231,471.333,622.000,37.405,166.860,1.138,0.879,1.001
25,M2_002-1.tif:0604-0392,56977.778,1307.631,2015.619,291.998,248.448,58.487,0.990,292.330,369.333,642.000,58.364,248.374,1.175,0.851,1.003
26,M2_002-1.tif:0662-0502,39666.667,1673.176,2207.757,238.200,212.028,77.400,0.995,238.400,494.667,697.333,78.166,211.914,1.123,0.890,0.999
27,M2_002-1.tif:0634-0636,49300.000,2122.176,2115.544,265.820,236.140,80.206,0.994,265.962,630.000,674.000,80.380,236.414,1.126,0.888,1.002
28,M2_002-1.tif:0585-0507,41900.000,1691.575,1952.137,233.398,228.574,50.252,0.999,233.590,486.000,613.333,52.149,228.621,1.021,0.979,1.001
29,M2_002-1.tif:0530-0506,36788.889,1688.794,1767.916,234.316,199.906,55.518,0.988,234.852,486.667,559.333,55.408,200.108,1.172,0.853,0.999
30,M2_002-1.tif:0427-0798,21300.000,2661.062,1424.414,213.680,126.918,12.399,0.904,214.038,767.000,434.333,12.593,126.965,1.684,0.594,0.998
31,M2_002-1.tif:0410-1396,34733.333,4655.834,1368.271,228.102,193.877,162.752,0.990,228.285,1364.000,400.500,163.020,193.859,1.177,0.850,1.003
32,M2_002-1.tif:0391-1469,37733.333,4897.509,1305.699,226.659,211.964,148.320,0.997,227.022,1440.500,373.500,147.593,211.953,1.069,0.935,0.998
33,M2_002-1.tif:0643-0732,42955.556,2442.360,2137.156,247.353,221.112,171.267,0.994,247.518,696.000,635.333,170.960,221.413,1.119,0.894,1.002
34,M2_002-1.tif:0280-0642,16433.333,2139.884,935.890,149.524,139.934,96.007,0.999,149.676,639.000,258.500,97.679,139.741,1.069,0.936,1.003
