 ,Label,Area,X,Y,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,M2_004.tif:0042-1423,30400.000,4746.724,142.204,215.165,179.892,0.443,0.986,215.567,1391.667,43.000,0.591,180.025,1.196,0.836,0.999
2,M2_004.tif:0052-1375,40277.778,4584.088,175.806,247.994,206.792,111.123,0.988,247.936,1362.000,18.000,110.872,207.057,1.199,0.834,0.999
3,M2_004.tif:0041-1113,33055.556,3712.460,139.127,205.216,205.089,57.865,0.999,205.082,1083.213,37.801,172.632,205.082,1.001,0.999,0.996
4,M2_004.tif:0113-1398,47744.444,4660.074,377.607,280.213,216.942,177.672,0.976,280.243,1356.000,111.500,177.614,216.999,1.292,0.774,1.001
5,M2_004.tif:0138-1512,36444.444,5026.774,465.695,232.977,199.172,50.143,0.839,264.160,1476.500,155.000,23.816,204.545,1.170,0.855,0.861
6,M2_004.tif:0168-1379,40100.000,4598.383,560.889,246.296,207.299,164.005,0.989,246.334,1344.000,158.000,163.895,207.341,1.188,0.842,0.997
7,M2_004.tif:0078-1452,16866.667,4842.481,261.704,159.444,134.688,124.385,0.987,159.939,1439.500,58.500,123.524,134.622,1.184,0.845,1.003
8,M2_004.tif:0434-1435,24511.111,4785.635,1446.907,184.658,169.007,41.603,0.995,185.120,1415.500,453.000,43.176,169.048,1.093,0.915,0.997
9,M2_004.tif:0514-1290,38933.333,4303.333,1713.333,233.029,212.727,146.491,0.998,232.976,1262.000,494.500,146.083,212.749,1.095,0.913,0.998
10,M2_004.tif:0872-1394,36411.111,4649.308,2907.516,225.326,205.746,86.965,0.998,225.302,1393.000,906.000,87.032,205.742,1.095,0.913,1.003
11,M2_004.tif:0935-1405,43566.667,4684.912,3119.283,273.735,202.644,22.432,0.965,274.231,1367.500,951.500,22.513,202.731,1.351,0.740,1.001
12,M2_004.tif:0974-1453,24966.667,4845.863,3248.366,228.336,139.218,19.463,0.914,228.260,1421.500,986.000,19.626,139.458,1.640,0.610,1.004
13,M2_004.tif:0936-1165,37677.778,3885.894,3121.638,232.676,206.179,91.834,0.992,233.482,1164.500,901.500,92.045,205.995,1.129,0.886,0.999
14,M2_004.tif:0988-1175,11688.889,3919.927,3295.928,130.009,114.475,98.340,0.995,129.882,1173.000,969.500,98.858,114.592,1.136,0.881,1.000
15,M2_004.tif:0893-1160,30611.111,3870.014,2979.377,210.028,185.572,142.842,0.993,210.350,1136.000,874.500,142.404,185.586,1.132,0.884,0.999
16,M2_004.tif:0870-1113,32977.778,3713.333,2903.333,217.841,192.749,73.166,0.993,218.403,1105.000,902.500,74.055,192.691,1.130,0.885,0.998
17,M2_004.tif:0488-1440,28511.111,4803.333,1626.667,203.393,178.480,112.918,0.992,203.087,1429.000,460.000,113.199,179.178,1.140,0.878,1.000
18,M2_004.tif:0114-1319,13644.444,4397.682,381.745,163.872,106.013,66.674,0.936,163.478,1309.500,137.000,66.571,105.930,1.546,0.647,1.000
19,M2_004.tif:0359-1204,42022.222,4015.939,1199.056,251.148,213.040,61.930,0.990,251.275,1187.000,393.000,61.905,212.943,1.179,0.848,1.001
20,M2_004.tif:0321-1068,61088.889,3560.928,1070.941,323.286,240.594,30.677,0.967,323.565,1026.500,346.000,30.660,240.755,1.344,0.744,0.999
21,M2_004.tif:0311-1018,32088.889,3393.333,1038.333,212.246,192.497,59.720,0.998,212.106,1002.000,339.000,59.808,192.516,1.103,0.907,1.005
22,M2_004.tif:0298-0971,37877.778,3239.012,994.246,238.874,201.895,166.290,0.988,238.898,937.000,289.500,165.867,202.264,1.183,0.845,0.999
23,M2_004.tif:0281-1128,43844.444,3762.522,938.316,236.405,236.139,102.365,1.000,236.320,1093.790,275.638,170.481,236.320,1.001,0.999,0.999
24,M2_004.tif:0451-0990,41300.000,3301.577,1505.696,246.919,212.964,71.470,0.991,247.190,979.000,487.000,71.932,213.008,1.159,0.862,0.999
25,M2_004.tif:0386-0920,33722.222,3069.177,1289.923,229.860,186.794,6.645,0.985,229.885,886.500,391.000,6.661,186.761,1.231,0.813,0.999
26,M2_004.tif:0251-1185,39733.333,3952.555,839.275,249.504,202.763,72.796,0.982,249.856,1174.500,287.500,72.532,202.985,1.231,0.813,0.998
27,M2_004.tif:0229-1092,42511.111,3640.000,765.000,249.635,216.824,103.365,0.993,249.844,1083.500,193.000,103.109,216.578,1.151,0.869,0.999
28,M2_004.tif:0217-1002,42555.556,3340.000,726.667,249.861,216.855,121.770,0.995,249.822,982.500,186.000,121.357,216.559,1.152,0.868,1.000
29,M2_004.tif:0233-0865,29877.778,2885.969,780.086,226.603,167.878,173.566,0.966,226.575,832.000,230.000,173.241,168.227,1.350,0.741,0.997
30,M2_004.tif:0187-0745,32533.333,2485.739,624.171,215.986,191.785,31.160,0.994,216.089,718.000,204.000,31.115,192.033,1.126,0.888,1.000
31,M2_004.tif:0218-0802,32744.444,2673.379,729.266,234.663,177.666,46.867,0.972,234.669,778.000,244.500,47.015,177.766,1.321,0.757,0.997
32,M2_004.tif:0534-0968,39700.000,3228.477,1782.420,239.007,211.490,55.881,0.994,238.985,948.500,564.500,56.088,211.747,1.130,0.885,0.999
33,M2_004.tif:0502-0891,34544.444,2971.597,1675.764,222.800,197.412,44.246,0.995,222.767,867.500,526.000,44.091,197.377,1.129,0.886,1.001
34,M2_004.tif:0626-0929,38100.000,3097.667,2087.538,238.708,203.220,85.091,0.990,239.037,926.500,662.000,85.601,203.204,1.175,0.851,0.999
35,M2_004.tif:0668-0884,31366.667,2946.707,2229.999,229.541,173.987,0.875,0.971,230.024,849.500,669.500,0.830,173.787,1.319,0.758,1.004
36,M2_004.tif:0596-0847,33988.889,2824.988,1989.404,230.800,187.504,4.367,0.984,230.730,813.000,599.500,4.557,187.765,1.231,0.812,1.004
37,M2_004.tif:0541-0827,37100.000,2756.664,1805.797,231.593,203.967,58.421,0.994,231.811,809.000,571.500,58.824,203.831,1.135,0.881,0.998
38,M2_004.tif:0643-0994,34933.333,3312.422,2144.953,224.857,197.808,178.991,0.993,225.025,960.000,643.000,179.151,197.865,1.137,0.880,0.998
39,M2_004.tif:0588-1003,34666.667,3345.000,1960.000,224.097,196.964,149.323,0.994,224.103,974.500,571.000,149.621,197.054,1.138,0.879,1.004
40,M2_004.tif:0521-1058,40911.111,3527.500,1740.086,237.287,219.522,138.687,0.997,237.376,1031.500,498.500,138.701,219.647,1.081,0.925,1.000
41,M2_004.tif:0305-0685,42866.667,2284.243,1017.509,242.809,224.784,54.017,0.997,243.002,663.500,334.500,53.366,224.853,1.080,0.926,0.999
42,M2_004.tif:0277-0817,28477.778,2723.346,924.965,190.697,190.140,85.172,0.996,190.817,789.434,285.205,15.615,190.817,1.003,0.997,0.993
43,M2_004.tif:0576-0693,20544.444,2311.686,1922.655,162.022,161.447,160.370,0.999,161.873,678.970,557.296,126.756,161.873,1.004,0.996,0.996
44,M2_004.tif:0527-0740,18977.778,2469.052,1760.000,155.847,155.045,0.000,0.998,155.680,717.592,531.005,7.394,155.680,1.005,0.995,0.997
45,M2_004.tif:0735-0963,39655.556,3210.743,2451.756,249.157,202.647,174.558,0.984,249.427,926.000,732.000,174.632,202.589,1.230,0.813,1.002
46,M2_004.tif:0748-1042,54133.333,3474.239,2494.008,305.991,225.251,170.241,0.966,306.059,997.000,740.500,170.281,225.389,1.358,0.736,1.001
47,M2_004.tif:0800-0993,51855.556,3312.382,2668.385,257.091,256.814,104.362,0.999,257.105,992.636,761.950,91.655,257.105,1.001,0.999,1.000
48,M2_004.tif:0876-1005,34255.556,3350.020,2921.636,223.892,194.806,56.930,0.994,223.731,986.500,904.500,56.547,194.814,1.149,0.870,1.002
49,M2_004.tif:0851-0879,44422.222,2930.835,2837.377,254.713,222.054,90.764,0.992,255.005,879.000,813.000,90.374,222.047,1.147,0.872,1.001
50,M2_004.tif:0812-0935,34022.222,3118.333,2710.000,223.234,194.049,110.198,0.989,223.557,924.000,781.500,110.056,194.663,1.150,0.869,0.994
51,M2_004.tif:1005-0828,42644.444,2762.462,3351.677,249.893,217.279,129.097,0.992,249.894,805.000,976.500,129.316,217.596,1.150,0.869,0.998
