 ,Label,Area,X,Y,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,M4_004.tif,18824533.333,2560.000,1838.333,5777.301,4148.674,0.000,1.000,1891.006,0.000,0.000,144.318,1103.000,1.393,0.718,1.000
2,M4_004.tif:0847-0323,3611.111,1076.641,2825.779,76.298,60.261,146.709,0.986,75.810,313.500,841.500,146.659,60.337,1.266,0.790,1.003
3,M4_004.tif:0800-0457,2711.111,1525.779,2669.112,65.922,52.363,172.110,0.991,65.532,448.000,799.500,172.694,52.157,1.259,0.794,1.008
4,M4_004.tif:0410-0304,3733.333,1015.437,1370.040,74.618,63.704,100.736,0.983,74.852,302.500,400.000,101.560,64.052,1.171,0.854,0.993
5,M4_004.tif:0362-0212,5566.667,709.538,1208.114,89.321,79.351,109.760,0.995,89.147,208.000,350.000,110.807,79.595,1.126,0.888,0.998
6,M4_004.tif:0386-0452,3366.667,1506.727,1287.475,73.927,57.984,162.967,0.988,73.276,441.500,383.000,162.801,58.038,1.275,0.784,1.007
7,M4_004.tif:0438-0363,5044.444,1209.912,1461.094,90.055,71.321,175.219,0.973,90.385,349.500,437.000,174.710,71.588,1.263,0.792,0.998
8,M4_004.tif:0134-0416,5444.444,1388.429,448.327,93.479,74.156,5.696,0.980,93.571,402.500,135.500,4.086,74.112,1.261,0.793,1.002
9,M4_004.tif:0106-0424,6055.556,1415.936,353.306,95.781,80.498,88.343,0.982,96.681,424.500,120.500,89.012,80.231,1.190,0.840,1.003
10,M4_004.tif:0080-0433,6711.111,1444.360,268.333,92.887,91.991,0.000,1.000,92.451,419.552,78.336,171.023,92.451,1.010,0.990,1.009
11,M4_004.tif:0168-0609,7644.444,2031.730,562.539,114.928,84.690,77.225,0.965,114.807,605.500,185.500,76.569,84.987,1.357,0.737,0.999
12,M4_004.tif:0112-0341,3633.333,1137.752,374.011,69.683,66.388,159.526,1.000,69.642,331.500,108.500,158.962,66.275,1.050,0.953,1.000
13,M4_004.tif:0152-0448,4288.889,1495.000,510.000,81.421,67.068,8.484,0.986,81.104,436.500,155.000,9.462,67.451,1.214,0.824,0.997
14,M4_004.tif:0074-0584,3655.556,1947.411,246.672,74.682,62.323,24.519,0.993,74.629,574.000,78.500,23.703,62.066,1.198,0.835,0.995
15,M4_004.tif:0971-0385,4200.000,1285.000,3240.000,79.415,67.338,165.508,0.969,80.139,374.000,968.500,163.072,68.241,1.179,0.848,0.997
16,M4_004.tif:0886-0210,6733.333,701.733,2955.050,100.767,85.079,143.266,0.998,100.000,198.500,877.500,143.130,85.153,1.184,0.844,1.005
