 ,Label,Area,X,Y,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,M1_002.tif,18824533.333,2560.000,1838.333,5777.301,4148.674,0.000,1.000,1891.006,0.000,0.000,144.318,1103.000,1.393,0.718,1.000
2,M1_002.tif:0604-0379,58577.778,1265.432,2016.642,284.240,262.397,128.699,0.996,284.948,353.333,571.333,128.032,262.398,1.083,0.923,1.001
3,M1_002.tif:0772-0412,60888.889,1374.450,2575.504,290.286,267.069,95.580,0.997,290.330,408.000,729.333,95.711,267.355,1.087,0.920,1.001
4,M1_002.tif:0405-0435,51777.778,1451.642,1350.844,267.500,246.451,77.917,0.997,267.732,427.000,444.500,77.781,246.545,1.085,0.921,0.997
5,M1_002.tif:0563-0613,67388.889,2044.060,1878.329,293.272,292.569,1.411,0.998,293.338,584.776,529.955,130.326,293.338,1.002,0.998,0.998
6,M1_002.tif:0428-0723,53011.111,2413.394,1427.766,272.600,247.601,96.889,0.995,272.890,719.333,387.667,96.546,247.775,1.101,0.908,1.004
7,M1_002.tif:0377-0667,39811.111,2226.650,1258.932,236.497,214.333,95.256,0.994,236.601,664.667,342.333,95.389,214.826,1.103,0.906,0.999
8,M1_002.tif:0345-0641,44922.222,2139.995,1151.113,251.046,227.834,90.773,0.996,251.150,641.333,307.667,91.014,228.036,1.102,0.908,0.998
9,M1_002.tif:0519-0786,47733.333,2622.271,1733.300,268.828,226.078,79.785,0.988,268.926,779.333,559.667,79.526,226.417,1.189,0.841,1.001
10,M1_002.tif:0303-0837,46888.889,2792.186,1010.946,274.513,217.479,95.971,0.977,274.856,833.333,262.333,96.033,217.929,1.262,0.792,0.999
11,M1_002.tif:0498-0906,61322.222,3022.150,1661.093,307.840,253.631,115.855,0.984,308.121,886.667,456.667,115.641,254.009,1.214,0.824,1.000
12,M1_002.tif:0609-1002,50555.556,3342.191,2033.302,279.138,230.601,107.652,0.985,279.718,990.000,570.000,107.571,230.594,1.210,0.826,0.999
13,M1_002.tif:0751-0766,44266.667,2554.449,2505.556,261.410,215.608,106.442,0.986,261.600,755.333,714.000,106.280,215.658,1.212,0.825,1.003
14,M1_002.tif:0695-0650,46000.000,2168.942,2316.705,266.748,219.567,65.450,0.987,266.491,634.000,731.333,65.358,219.690,1.215,0.823,1.000
15,M1_002.tif:0709-1062,48655.556,3541.242,2364.396,293.118,211.349,91.451,0.960,293.409,1061.333,665.333,91.302,211.471,1.387,0.721,1.001
16,M1_002.tif:0925-0818,61488.889,2728.953,3083.372,280.088,279.519,86.172,0.999,280.035,794.030,959.022,54.091,280.035,1.002,0.998,1.000
17,M1_002.tif:0861-0864,59900.000,2881.106,2871.011,302.804,251.869,115.802,0.987,303.152,844.667,820.333,115.626,251.796,1.202,0.832,0.999
18,M1_002.tif:0876-0763,49255.556,2546.576,2922.091,274.785,228.230,136.803,0.986,275.098,734.000,848.333,136.637,228.494,1.204,0.831,1.002
19,M1_002.tif:0787-0947,33477.778,3157.723,2624.406,226.344,188.321,88.983,0.986,226.710,946.667,821.333,88.877,188.304,1.202,0.832,1.001
20,M1_002.tif:0932-0709,32800.000,2363.333,3110.000,237.792,175.625,1.620,0.964,237.871,673.333,934.000,1.606,176.296,1.354,0.739,1.002
21,M1_002.tif:0682-0822,35377.778,2740.922,2273.317,225.558,199.702,85.159,0.995,225.334,819.333,715.667,84.908,199.978,1.129,0.885,0.997
22,M1_002.tif:0659-0520,47333.333,1734.075,2198.178,273.745,220.156,71.851,0.983,273.542,507.500,698.500,71.896,220.421,1.243,0.804,1.003
23,M1_002.tif:0684-0398,53233.333,1327.285,2280.093,289.936,233.772,61.052,0.982,290.254,377.000,722.000,60.786,233.888,1.240,0.806,1.002
24,M1_002.tif:0684-0254,45255.556,849.114,2282.578,266.896,215.893,121.233,0.983,266.969,234.000,650.500,121.209,215.937,1.236,0.809,1.001
25,M1_002.tif:0729-0098,33166.667,326.648,2430.903,219.468,192.415,60.581,0.995,219.349,82.000,758.000,60.903,192.466,1.141,0.877,0.998
26,M1_002.tif:0611-0189,35222.222,631.756,2037.393,226.144,198.308,129.744,0.993,226.207,168.000,585.000,129.319,198.484,1.140,0.877,1.001
27,M1_002.tif:0529-0245,51688.889,820.034,1765.729,274.060,240.138,101.736,0.991,274.252,237.500,489.500,101.925,240.640,1.141,0.876,1.002
28,M1_002.tif:0481-0212,59077.778,707.303,1604.885,302.742,248.463,108.913,0.984,303.063,197.500,438.500,108.933,248.612,1.218,0.821,0.999
29,M1_002.tif:0493-0281,66177.778,939.297,1644.974,320.455,262.940,50.401,0.985,320.733,251.000,530.500,50.271,263.107,1.219,0.821,0.999
30,M1_002.tif:0569-0297,43900.000,991.709,1898.337,236.422,236.422,85.426,1.000,236.455,294.146,534.191,95.426,236.455,1.000,1.000,1.001
31,M1_002.tif:0525-0168,50988.889,562.433,1750.053,295.284,219.860,100.819,0.968,295.169,160.500,481.500,100.739,220.305,1.343,0.745,0.999
32,M1_002.tif:0597-0026,38922.222,94.637,1991.528,241.977,204.802,109.241,0.933,244.000,4.500,568.000,126.948,216.585,1.182,0.846,0.942
33,M1_002.tif:0646-0581,36366.667,1936.635,2154.216,242.273,191.121,85.384,0.979,242.493,578.000,682.500,85.269,191.064,1.268,0.789,0.996
34,M1_002.tif:0448-1110,55100.000,3703.317,1495.487,298.628,234.926,94.754,0.977,298.779,1107.333,404.000,94.693,235.413,1.271,0.787,1.001
35,M1_002.tif:0513-1108,49444.444,3694.491,1712.213,251.114,250.702,140.099,0.999,251.121,1074.055,498.050,155.507,251.121,1.002,0.998,0.999
36,M1_002.tif:0631-1093,33022.222,3643.294,2104.379,226.602,185.546,87.162,0.984,226.939,1091.333,665.333,87.194,185.513,1.221,0.819,0.999
37,M1_002.tif:0708-0936,22600.000,3123.386,2362.342,187.550,153.427,117.315,0.983,187.853,924.000,683.667,117.474,153.562,1.222,0.818,1.007
38,M1_002.tif:0691-1004,34511.111,3347.805,2303.249,231.871,189.506,80.809,0.984,231.985,998.667,725.333,80.628,189.639,1.224,0.817,1.001
39,M1_002.tif:0458-1046,42455.556,3487.833,1528.945,256.045,211.119,81.794,0.986,256.135,1040.667,496.667,81.518,211.203,1.213,0.825,1.001
