 ,Label,Area,X,Y,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,M3_004.tif:0202-0337,22466.667,1124.476,676.719,171.970,166.339,27.020,1.000,172.032,314.667,215.333,28.551,166.364,1.034,0.967,1.001
2,M3_004.tif:0079-0155,21166.667,517.801,264.585,188.927,142.649,145.898,0.972,188.614,132.000,63.333,145.561,143.007,1.324,0.755,0.999
3,M3_004.tif:0019-0132,24477.778,440.039,72.609,190.540,163.567,179.894,0.904,185.712,104.210,17.408,176.038,185.712,1.165,0.858,0.905
4,M3_004.tif:0092-0321,26566.667,1072.170,306.614,199.025,169.957,18.558,0.992,198.873,293.333,101.333,18.232,169.985,1.171,0.854,1.001
5,M3_004.tif:0028-0394,21866.667,1315.613,96.668,186.649,149.165,179.568,0.978,186.680,366.667,28.667,179.318,149.809,1.251,0.799,0.997
6,M3_004.tif:0112-0577,20288.889,1923.346,375.506,178.847,144.440,98.099,0.982,179.450,573.333,86.000,97.829,144.008,1.238,0.808,0.999
7,M3_004.tif:0161-0296,17133.333,988.872,537.827,164.864,132.320,175.126,0.981,164.984,272.000,159.333,175.365,132.398,1.246,0.803,1.002
8,M3_004.tif:0086-0251,13544.444,836.739,288.785,146.539,117.684,122.573,0.981,146.751,239.333,68.000,122.005,117.766,1.245,0.803,0.993
9,M3_004.tif:0322-0424,14866.667,1414.425,1074.427,153.663,123.184,128.502,0.985,153.398,410.000,304.333,128.530,123.100,1.247,0.802,1.003
10,M3_004.tif:0054-0670,29200.000,2234.602,183.445,207.000,179.607,114.915,0.989,207.822,657.333,26.667,114.647,179.542,1.153,0.868,1.003
11,M3_004.tif:0158-0713,27222.222,2379.116,527.741,200.256,173.081,2.797,0.993,200.308,683.667,160.000,3.180,173.050,1.157,0.864,1.001
12,M3_004.tif:0110-0724,28800.000,2414.564,367.801,213.956,171.387,122.398,0.980,213.900,707.000,83.333,122.699,171.931,1.248,0.801,0.998
13,M3_004.tif:0110-0768,27722.222,2562.085,368.754,196.048,180.043,58.359,0.996,196.274,753.667,136.000,59.370,180.204,1.089,0.918,1.000
14,M3_004.tif:0338-0382,28266.667,1273.378,1127.727,198.078,181.697,43.154,0.997,198.090,360.333,358.667,43.182,181.871,1.090,0.917,0.997
15,M3_004.tif:0563-0389,24688.889,1300.000,1880.000,193.440,162.504,153.966,0.986,193.793,364.000,551.000,153.435,162.696,1.190,0.840,1.000
16,M3_004.tif:0515-0404,22255.556,1347.679,1716.593,183.546,154.384,158.363,0.990,183.640,378.667,505.000,158.714,154.172,1.189,0.841,1.003
17,M3_004.tif:0405-0292,23655.556,973.209,1352.147,189.382,159.039,141.570,0.988,189.502,270.000,387.667,140.711,159.094,1.191,0.840,0.999
18,M3_004.tif:0435-0258,22633.333,860.020,1451.164,178.537,161.410,165.726,0.997,178.402,232.000,429.000,166.310,161.539,1.106,0.904,1.000
19,M3_004.tif:0614-0276,30411.111,921.166,2048.779,224.402,172.550,0.273,0.975,224.455,242.667,615.000,0.567,172.641,1.301,0.769,1.001
20,M3_004.tif:0620-0162,30488.889,540.000,2066.667,214.136,181.285,57.503,0.992,213.900,144.667,647.000,57.301,181.138,1.181,0.847,1.003
21,M3_004.tif:0657-0067,25100.000,225.384,2193.327,198.888,160.685,173.545,0.981,199.022,38.000,654.667,173.589,161.002,1.238,0.808,1.004
22,M3_004.tif:0588-0075,24355.556,252.310,1962.432,195.822,158.361,77.594,0.985,195.720,69.333,617.333,77.542,158.330,1.237,0.809,1.003
23,M3_004.tif:0491-0117,24966.667,392.300,1638.000,192.793,164.884,152.889,0.990,192.822,92.000,478.000,152.549,165.165,1.169,0.855,0.999
24,M3_004.tif:0407-0181,20055.556,604.496,1358.780,172.528,148.008,105.729,0.994,172.491,174.667,382.667,104.931,147.750,1.166,0.858,1.004
25,M3_004.tif:0672-0113,20422.222,378.738,2242.140,173.833,149.582,43.612,0.989,174.483,94.667,690.667,43.452,149.457,1.162,0.860,0.998
26,M3_004.tif:0535-0123,9855.556,410.994,1784.493,120.735,103.934,172.315,0.992,121.004,105.333,533.000,172.614,103.648,1.162,0.861,1.003
27,M3_004.tif:0465-0593,23288.889,1978.831,1551.172,185.857,159.544,130.810,0.994,185.845,575.333,444.333,131.121,159.189,1.165,0.858,1.002
28,M3_004.tif:0589-0671,23344.444,2237.846,1964.553,186.280,159.561,156.852,0.993,186.163,645.667,578.333,156.801,159.462,1.167,0.857,1.002
29,M3_004.tif:0597-0767,28722.222,2556.800,1990.921,209.920,174.210,23.831,0.987,209.844,738.333,610.333,24.394,174.532,1.205,0.830,0.998
30,M3_004.tif:0474-0693,27077.778,2312.186,1583.327,193.344,178.317,123.271,0.996,193.627,678.333,450.333,121.866,178.374,1.084,0.922,1.001
31,M3_004.tif:0406-0631,20955.556,2103.349,1354.436,174.685,152.740,62.983,0.993,174.921,619.000,429.667,62.784,152.614,1.144,0.874,1.001
32,M3_004.tif:0402-0785,27177.778,2616.665,1341.175,197.788,174.954,72.934,0.995,197.528,776.333,430.667,72.992,175.171,1.131,0.885,0.998
33,M3_004.tif:0281-0912,27433.333,3041.116,938.799,191.270,182.617,51.401,0.998,191.227,894.333,304.000,51.132,182.924,1.047,0.955,0.996
34,M3_004.tif:0272-0808,22188.889,2695.571,908.938,193.467,146.029,3.971,0.969,193.793,779.667,274.667,3.945,146.119,1.325,0.755,0.998
35,M3_004.tif:0263-0860,28177.778,2870.000,878.851,189.737,189.089,90.000,0.997,189.724,832.858,259.437,171.452,189.724,1.003,0.997,1.000
