 ,Label,Area,X,Y,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,M9_004.tif,18824533.333,2560.000,1838.333,5777.301,4148.674,0.000,1.000,1891.006,0.000,0.000,144.318,1103.000,1.393,0.718,1.000
2,M9_004.tif:0191-0381,15633.333,1272.010,638.926,166.521,119.534,166.808,0.962,166.563,357.333,186.000,166.891,119.250,1.393,0.718,0.997
3,M9_004.tif:0221-0350,23766.667,1167.768,738.756,190.289,159.025,95.669,0.989,189.945,347.333,193.333,96.044,159.351,1.197,0.836,1.001
4,M9_004.tif:0380-0136,9766.667,456.623,1268.739,128.481,96.787,9.617,0.970,128.601,118.000,384.000,9.951,96.749,1.327,0.753,1.006
5,M9_004.tif:0329-0449,24600.000,1496.644,1097.576,204.070,153.485,151.062,0.972,203.973,422.333,314.333,150.642,153.452,1.330,0.752,1.000
6,M9_004.tif:0255-0421,17555.556,1403.333,853.333,171.674,130.203,105.344,0.970,172.491,414.333,231.000,104.931,129.768,1.319,0.758,1.007
7,M9_004.tif:0090-0091,14200.000,305.569,301.226,142.604,126.785,126.721,0.996,142.673,78.667,73.333,127.405,126.650,1.125,0.889,1.001
8,M9_004.tif:0172-0012,10622.222,46.597,574.951,130.162,103.906,77.094,0.888,130.715,1.000,188.667,54.689,116.035,1.253,0.798,0.897
9,M9_004.tif:0263-0023,18966.667,77.828,880.019,164.709,146.617,115.027,0.993,165.164,13.333,241.333,113.806,146.615,1.123,0.890,0.997
10,M9_004.tif:0261-0198,21588.889,663.221,872.102,175.917,156.255,119.113,0.994,176.131,186.000,238.667,119.476,156.351,1.126,0.888,1.006
11,M9_004.tif:0207-0267,12300.000,892.453,693.353,137.221,114.129,69.158,0.987,137.459,260.667,227.333,69.661,113.956,1.202,0.832,1.002
12,M9_004.tif:0147-0481,11088.889,1603.333,490.000,130.415,108.261,154.696,0.992,130.223,463.333,138.667,154.747,107.957,1.205,0.830,0.995
13,M9_004.tif:0215-0569,20911.111,1896.667,716.667,187.766,141.798,170.138,0.972,187.432,541.333,210.000,169.756,142.180,1.324,0.755,0.999
14,M9_004.tif:0172-0568,11800.000,1896.667,573.333,126.893,118.401,175.341,1.000,127.153,550.000,170.333,174.987,118.009,1.072,0.933,1.006
15,M9_004.tif:0328-0258,16733.333,860.137,1095.668,170.107,125.248,156.143,0.966,170.127,234.667,318.333,156.114,125.321,1.358,0.736,0.998
16,M9_004.tif:0412-0197,18144.444,657.778,1376.780,159.060,145.242,53.990,0.998,159.134,183.333,432.333,54.090,145.053,1.095,0.913,1.002
17,M9_004.tif:0417-0069,16411.111,232.165,1390.125,151.874,137.583,94.799,0.996,151.519,68.000,394.333,94.205,138.113,1.104,0.906,1.002
18,M9_004.tif:0535-0216,20066.667,722.180,1784.444,167.452,152.579,79.574,0.998,167.362,212.000,560.000,79.287,152.553,1.097,0.911,1.004
19,M9_004.tif:0447-0410,17533.333,1366.688,1491.054,164.216,135.944,40.223,0.991,163.903,391.333,463.333,40.601,135.715,1.208,0.828,0.998
20,M9_004.tif:0588-0356,27744.444,1186.694,1962.055,203.051,173.972,36.883,0.992,202.698,332.000,607.333,37.875,174.360,1.167,0.857,1.003
21,M9_004.tif:0608-0057,19911.111,190.000,2030.000,171.661,147.684,134.314,0.996,171.342,39.333,590.333,133.423,147.388,1.162,0.860,0.999
22,M9_004.tif:0722-0030,20100.000,101.313,2408.886,172.853,148.057,69.225,0.992,172.491,20.667,746.667,68.062,148.376,1.167,0.857,1.004
23,M9_004.tif:0808-0270,17755.556,903.333,2696.667,177.034,127.699,7.732,0.960,177.249,244.667,812.667,7.927,127.699,1.386,0.721,1.005
24,M9_004.tif:0396-0576,19744.444,1921.023,1320.961,174.419,144.132,58.482,0.984,174.554,562.667,418.667,58.536,144.511,1.210,0.826,0.996
25,M9_004.tif:0437-0541,15788.889,1804.285,1458.699,155.814,129.019,49.120,0.986,155.952,526.000,455.333,49.044,129.110,1.208,0.828,1.003
26,M9_004.tif:0481-0456,19377.778,1523.333,1606.667,173.177,142.470,152.506,0.984,172.948,434.000,470.000,152.447,143.182,1.216,0.823,0.999
27,M9_004.tif:0506-0106,25311.111,354.186,1686.667,219.490,146.827,0.000,0.941,220.000,73.333,506.000,0.000,146.657,1.495,0.669,0.992
28,M9_004.tif:0482-0071,12700.000,240.095,1608.852,155.713,103.846,5.072,0.937,156.126,48.667,484.667,4.899,104.077,1.499,0.667,0.997
29,M9_004.tif:0484-0032,18544.444,107.742,1613.328,163.919,144.044,125.746,0.993,164.039,18.000,464.000,125.628,144.136,1.138,0.879,0.996
30,M9_004.tif:0568-0083,18355.556,278.933,1894.403,163.551,142.897,139.073,0.991,163.692,65.333,552.000,138.302,143.170,1.145,0.874,1.002
31,M9_004.tif:0859-0226,8966.667,756.627,2864.360,114.216,99.957,136.802,0.986,114.719,214.667,847.333,135.785,100.337,1.143,0.875,1.001
32,M9_004.tif:0895-0181,17677.778,605.528,2983.292,160.399,140.325,73.531,0.996,160.278,174.667,918.000,73.072,140.184,1.143,0.875,0.998
33,M9_004.tif:0959-0239,22533.333,800.000,3196.667,189.179,151.657,11.555,0.979,190.023,212.000,964.333,10.784,151.339,1.247,0.802,0.996
34,M9_004.tif:0958-0302,12133.333,1007.833,3194.451,133.172,116.005,88.939,0.994,133.352,302.000,978.333,89.045,115.740,1.148,0.871,0.997
35,M9_004.tif:0944-0388,15966.667,1296.566,3148.795,153.153,132.739,70.808,0.991,153.220,381.333,966.333,70.514,132.984,1.154,0.867,1.003
36,M9_004.tif:0949-0513,24477.778,1711.160,3165.521,201.289,154.833,104.466,0.973,201.574,506.000,920.333,104.036,154.887,1.300,0.769,0.999
37,M9_004.tif:0988-0397,21055.556,1324.434,3295.391,186.740,143.562,107.884,0.974,186.931,388.667,962.000,108.004,143.635,1.301,0.769,1.002
38,M9_004.tif:1008-0439,16777.778,1466.618,3361.091,166.672,128.169,93.020,0.973,166.904,438.667,983.333,93.053,128.246,1.300,0.769,0.997
39,M9_004.tif:0939-0197,14366.667,657.467,3132.061,147.601,123.930,112.729,0.991,147.355,188.667,919.333,113.085,123.997,1.191,0.840,1.002
40,M9_004.tif:0966-0062,16344.444,209.516,3221.102,157.413,132.202,76.769,0.991,157.154,57.667,989.333,77.339,132.243,1.191,0.840,0.998
41,M9_004.tif:0991-0101,19444.444,336.739,3305.472,171.936,143.992,175.828,0.990,171.471,75.333,990.000,176.285,144.291,1.194,0.837,0.997
42,M9_004.tif:0906-0120,21911.111,401.246,3022.098,181.832,153.428,112.058,0.986,182.398,110.000,881.333,112.190,153.486,1.185,0.844,0.999
43,M9_004.tif:0907-0605,6144.444,2019.093,3023.535,96.534,81.042,26.931,0.990,96.404,592.667,913.333,25.974,81.123,1.191,0.840,1.009
44,M9_004.tif:0928-0475,24366.667,1583.279,3095.496,196.013,158.279,94.400,0.984,196.173,472.667,899.333,94.548,157.952,1.238,0.807,1.002
45,M9_004.tif:0834-0543,22022.222,1809.919,2781.171,186.809,150.097,8.786,0.982,186.693,515.333,838.667,8.902,150.319,1.245,0.803,0.995
46,M9_004.tif:0899-0386,15633.333,1286.713,2999.001,157.169,126.647,53.432,0.982,157.339,372.000,918.667,53.616,126.684,1.241,0.806,1.002
47,M9_004.tif:0857-0374,19233.333,1247.823,2857.729,174.634,140.228,132.587,0.981,174.597,356.667,838.000,132.421,140.579,1.245,0.803,0.999
48,M9_004.tif:0817-0361,17477.778,1202.656,2724.994,166.083,133.990,111.406,0.985,166.095,351.667,794.333,111.588,133.735,1.240,0.807,0.997
49,M9_004.tif:0554-0693,22488.889,2310.950,1846.742,188.165,152.174,8.275,0.983,188.562,665.333,558.000,8.130,151.824,1.237,0.809,0.992
50,M9_004.tif:0488-0704,17477.778,2347.551,1627.573,165.981,134.072,142.210,0.983,166.251,684.667,473.000,142.058,133.860,1.238,0.808,0.999
51,M9_004.tif:0583-0773,25122.222,2576.666,1945.559,199.040,160.704,165.714,0.982,199.419,744.000,576.333,165.809,160.566,1.239,0.807,1.000
52,M9_004.tif:0540-0824,22333.333,2746.667,1800.000,187.933,151.308,101.079,0.984,187.840,818.667,512.333,100.911,151.243,1.242,0.805,1.000
53,M9_004.tif:0479-0809,17044.444,2696.667,1596.667,164.221,132.149,113.144,0.982,164.279,799.333,456.333,113.097,132.272,1.243,0.805,1.001
54,M9_004.tif:0433-0786,18288.889,2620.000,1443.333,169.527,137.359,48.536,0.982,170.171,769.333,452.333,49.236,137.016,1.234,0.810,1.004
55,M9_004.tif:0399-0823,20688.889,2743.333,1333.333,178.029,147.964,140.389,0.987,178.125,802.667,382.667,139.554,148.082,1.203,0.831,0.996
56,M9_004.tif:0195-0817,16744.444,2724.542,651.240,160.291,133.006,156.783,0.987,160.200,795.333,185.667,156.280,133.181,1.205,0.830,0.998
57,M9_004.tif:0392-0649,10377.778,2165.425,1309.058,125.896,104.955,140.048,0.988,126.061,635.333,380.333,139.289,104.800,1.200,0.834,0.998
58,M9_004.tif:0529-0613,18188.889,2044.216,1763.383,166.593,139.015,10.215,0.987,166.963,588.667,533.333,9.964,138.803,1.198,0.834,0.999
59,M9_004.tif:0697-0672,13744.444,2240.977,2324.569,144.922,120.755,78.537,0.987,145.127,668.000,718.667,78.518,120.650,1.200,0.833,1.001
60,M9_004.tif:0735-0619,15644.444,2066.664,2451.134,154.152,129.217,27.747,0.985,155.047,599.333,746.000,27.300,128.897,1.193,0.838,1.001
61,M9_004.tif:0699-0800,14633.333,2669.014,2332.226,149.741,124.426,49.000,0.988,149.683,786.000,716.667,49.214,124.438,1.203,0.831,0.999
62,M9_004.tif:0186-0909,24177.778,3032.443,622.088,178.038,172.907,64.041,1.000,178.069,896.667,210.000,60.876,172.816,1.030,0.971,1.003
63,M9_004.tif:0157-1190,24000.000,3968.810,523.207,177.776,171.889,96.523,0.999,177.569,1186.667,130.667,98.637,172.331,1.034,0.967,0.998
64,M9_004.tif:0244-1125,16866.667,3752.020,816.603,148.590,144.527,92.394,0.993,149.303,1124.000,222.667,94.268,144.899,1.028,0.973,0.998
65,M9_004.tif:0233-1170,17588.889,3901.048,777.744,156.040,143.520,118.221,0.996,156.078,1159.333,212.667,118.025,143.799,1.087,0.920,1.002
66,M9_004.tif:0202-1211,18377.778,4036.667,676.667,159.119,147.055,127.206,0.994,159.660,1197.333,183.333,124.796,147.098,1.082,0.924,0.993
67,M9_004.tif:0073-0981,12011.111,3272.148,244.269,129.100,118.459,104.670,0.998,128.831,976.667,54.667,104.995,118.695,1.090,0.918,0.996
68,M9_004.tif:0022-0953,19100.000,3180.113,74.599,162.811,149.368,158.430,0.997,162.587,931.333,13.333,158.344,149.795,1.090,0.917,1.000
69,M9_004.tif:0026-0997,18500.000,3324.495,88.950,164.528,143.167,174.411,0.992,164.984,972.667,24.667,175.365,142.916,1.149,0.870,1.000
70,M9_004.tif:0022-1090,23422.222,3634.643,76.232,187.976,158.648,158.825,0.969,187.853,1065.333,9.333,152.526,162.727,1.185,0.844,0.976
71,M9_004.tif:0514-1014,19600.000,3381.253,1715.476,169.691,147.064,150.988,0.989,170.083,992.000,502.333,151.091,147.334,1.154,0.867,0.993
72,M9_004.tif:0550-0988,18122.222,3295.689,1835.658,163.287,141.309,84.555,0.993,163.193,986.000,575.000,83.746,141.365,1.156,0.865,0.999
73,M9_004.tif:0402-1152,20244.444,3842.205,1339.952,189.095,136.313,58.966,0.959,189.411,1138.000,426.333,58.921,136.517,1.387,0.721,1.002
74,M9_004.tif:0451-0899,15355.556,2996.580,1505.724,140.436,139.218,134.867,1.000,140.141,889.333,433.000,117.378,139.419,1.009,0.991,1.003
75,M9_004.tif:0307-0993,16677.778,3312.189,1023.292,146.096,145.348,131.241,1.000,146.076,975.333,295.000,146.793,145.324,1.005,0.995,0.996
76,M9_004.tif:0258-0619,18855.556,2062.796,861.965,172.815,138.921,8.291,0.982,172.667,593.196,262.227,8.130,139.305,1.244,0.804,1.000
77,M9_004.tif:0972-1020,21100.000,3402.490,3242.218,165.684,162.148,158.773,1.000,165.765,997.439,964.001,159.624,161.877,1.022,0.979,0.998
78,M9_004.tif:0816-1127,17800.000,3759.873,2721.475,152.433,148.679,119.236,0.995,152.722,1115.640,797.068,122.535,149.139,1.025,0.975,0.998
79,M9_004.tif:0762-1272,19333.333,4243.670,2542.561,158.871,154.943,85.393,0.999,158.874,1270.145,786.413,82.776,155.147,1.025,0.975,1.000
80,M9_004.tif:0805-1314,17477.778,4380.359,2683.534,153.972,144.529,80.293,0.999,154.119,1309.437,827.703,78.366,144.389,1.065,0.939,1.002
81,M9_004.tif:0933-1224,13811.111,4082.747,3111.109,137.163,128.204,62.763,0.997,137.131,1214.869,951.318,60.945,128.474,1.070,0.935,1.000
82,M9_004.tif:0968-1208,17200.000,4028.523,3229.996,149.988,146.010,57.763,0.998,150.069,1197.554,988.613,60.781,146.208,1.027,0.973,1.001
83,M9_004.tif:0684-1137,17600.000,3789.834,2282.973,157.128,142.616,59.562,0.997,157.237,1124.963,705.196,59.452,142.457,1.102,0.908,1.005
84,M9_004.tif:0671-0990,25955.556,3301.293,2237.754,191.308,172.746,80.834,0.994,191.233,985.776,699.617,80.647,173.258,1.107,0.903,1.000
85,M9_004.tif:0691-0844,19144.444,2815.265,2305.371,177.216,137.547,22.154,0.976,177.258,819.950,701.615,22.068,137.687,1.288,0.776,1.003
86,M9_004.tif:0630-0837,13255.556,2792.186,2101.055,133.401,126.517,91.384,0.998,133.212,837.265,610.377,90.955,126.972,1.054,0.948,0.997
87,M9_004.tif:0640-0868,11600.000,2894.294,2134.387,128.846,114.630,113.255,0.994,128.620,861.240,622.364,111.251,115.064,1.124,0.890,1.004
