 ,Label,Area,X,Y,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,M9_002.tif,18824533.333,2560.000,1838.333,5777.301,4148.674,0.000,1.000,1891.006,0.000,0.000,144.318,1103.000,1.393,0.718,1.000
2,M9_002.tif:0091-0249,22866.667,829.903,304.534,179.093,162.567,105.676,0.994,179.505,242.000,65.333,105.068,162.759,1.102,0.908,0.993
3,M9_002.tif:0225-0150,13233.333,502.031,750.057,143.337,117.549,58.518,0.983,143.690,139.333,243.333,58.276,117.651,1.219,0.820,1.003
4,M9_002.tif:0266-0122,4955.556,406.667,888.976,79.742,79.126,0.000,1.000,79.131,115.508,276.604,56.843,79.131,1.008,0.992,1.009
5,M9_002.tif:0272-0052,15855.556,174.185,907.932,151.755,133.030,51.202,0.993,151.666,38.000,290.000,50.947,133.332,1.141,0.877,1.005
6,M9_002.tif:0199-0225,18766.667,752.474,664.418,164.842,144.953,70.787,0.991,165.179,217.333,222.667,70.346,145.212,1.137,0.879,0.998
7,M9_002.tif:0014-0358,14655.556,1197.113,53.590,158.712,117.571,171.618,0.917,157.919,336.000,9.333,166.159,126.672,1.350,0.741,0.944
8,M9_002.tif:0028-0317,15077.778,1058.874,94.568,149.064,128.787,142.287,0.992,148.905,300.000,14.667,142.275,129.010,1.157,0.864,0.998
9,M9_002.tif:0013-0477,16077.778,1592.648,52.270,173.528,117.969,4.013,0.873,170.649,452.667,17.333,8.236,134.665,1.471,0.680,0.897
10,M9_002.tif:0139-0304,17000.000,1013.333,466.667,154.660,139.953,130.448,0.995,154.792,289.333,122.000,129.174,140.053,1.105,0.905,1.005
11,M9_002.tif:0224-0381,21555.556,1270.098,749.022,167.681,163.677,69.583,0.998,167.965,373.333,248.667,72.284,163.724,1.024,0.976,0.995
12,M9_002.tif:0218-0259,13955.556,865.568,727.949,146.323,121.435,53.385,0.986,146.228,246.667,236.000,53.653,121.813,1.205,0.830,0.997
13,M9_002.tif:0192-0134,12855.556,448.737,640.958,139.962,116.948,139.410,0.987,140.282,118.667,178.667,139.497,116.859,1.197,0.836,1.000
14,M9_002.tif:0357-0415,17266.667,1384.354,1192.222,158.749,138.486,27.362,0.992,159.009,394.000,368.333,26.565,138.483,1.146,0.872,1.001
15,M9_002.tif:0396-0317,18844.444,1058.862,1322.374,165.986,144.551,120.146,0.991,166.207,305.333,375.000,119.650,144.751,1.148,0.871,1.000
16,M9_002.tif:0360-0197,19766.667,657.809,1200.893,169.937,148.101,109.035,0.992,170.113,188.667,336.333,109.855,148.152,1.147,0.872,1.000
17,M9_002.tif:0303-0204,5388.889,680.052,1010.787,89.085,77.020,150.543,0.992,88.805,192.667,296.333,148.299,77.341,1.157,0.865,0.993
18,M9_002.tif:0442-0325,19477.778,1083.213,1475.626,180.883,137.104,36.617,0.971,180.889,303.333,459.000,37.011,137.289,1.319,0.758,1.000
19,M9_002.tif:0497-0121,21233.333,404.606,1656.582,188.721,143.255,136.763,0.973,188.667,100.667,477.667,136.909,143.191,1.317,0.759,1.001
20,M9_002.tif:0461-0014,16477.778,54.802,1539.729,174.808,120.018,101.060,0.892,173.575,6.667,437.000,108.667,131.738,1.457,0.687,0.921
21,M9_002.tif:0537-0070,19077.778,233.309,1792.278,165.431,146.832,41.750,0.995,165.358,51.333,554.000,41.186,146.945,1.127,0.888,0.993
22,M9_002.tif:0567-0032,26877.778,108.769,1891.216,208.152,164.408,41.202,0.980,207.799,9.333,588.000,41.532,164.877,1.266,0.790,1.003
23,M9_002.tif:0659-0020,21255.556,71.228,2196.976,185.904,145.578,61.923,0.938,188.889,3.333,682.000,53.130,149.874,1.277,0.783,0.960
24,M9_002.tif:0649-0087,15622.222,293.333,2163.333,168.595,117.980,176.348,0.951,169.254,62.667,647.333,176.236,117.776,1.429,0.700,1.006
25,M9_002.tif:0615-0151,20788.889,506.730,2052.301,181.324,145.978,38.765,0.982,181.856,130.667,632.667,38.550,145.652,1.242,0.805,1.006
26,M9_002.tif:0544-0207,21400.000,692.189,1815.498,184.317,147.828,139.526,0.983,184.391,186.667,526.667,139.399,147.683,1.247,0.802,1.001
27,M9_002.tif:0628-0215,17833.333,716.637,2094.601,164.590,137.956,79.839,0.989,164.775,210.667,652.667,79.903,137.733,1.193,0.838,1.002
28,M9_002.tif:0650-0308,19511.111,1026.667,2166.667,157.614,157.614,0.000,1.000,157.260,292.000,632.667,132.709,157.063,1.000,1.000,1.003
29,M9_002.tif:0717-0275,14155.556,918.694,2389.874,146.438,123.079,125.625,0.989,146.228,262.667,699.333,126.347,123.418,1.190,0.840,1.004
30,M9_002.tif:0721-0135,16922.222,449.979,2404.567,155.843,138.255,88.182,0.997,155.698,134.000,744.667,87.546,138.091,1.127,0.887,1.005
31,M9_002.tif:0721-0031,19633.333,104.340,2406.628,167.799,148.976,128.009,0.994,168.009,16.000,702.000,127.476,149.010,1.126,0.888,0.999
32,M9_002.tif:0427-0237,20755.556,790.000,1426.667,179.490,147.233,0.000,0.984,180.000,210.000,428.000,0.000,147.021,1.219,0.820,1.001
33,M9_002.tif:0604-0241,32300.000,805.469,2015.506,224.160,183.466,0.357,0.985,224.444,208.000,604.667,0.000,183.322,1.222,0.818,1.006
34,M9_002.tif:0814-0234,12688.889,780.090,2714.346,140.674,114.847,34.488,0.987,140.546,216.667,826.333,34.695,114.795,1.225,0.816,1.000
35,M9_002.tif:0848-0203,18033.333,677.789,2827.672,160.266,143.266,85.333,0.996,160.555,201.333,872.333,85.236,142.940,1.119,0.894,1.003
36,M9_002.tif:0874-0122,18844.444,406.667,2913.333,160.117,149.850,97.483,0.998,160.016,118.000,850.333,99.593,150.058,1.069,0.936,0.998
37,M9_002.tif:0938-0213,20988.889,710.057,3128.776,193.554,138.069,178.631,0.959,193.384,184.000,938.000,178.683,138.324,1.402,0.713,1.003
38,M9_002.tif:0894-0339,19800.000,1130.094,2982.187,159.913,157.649,55.421,1.000,160.015,328.000,916.000,62.723,157.534,1.014,0.986,0.999
39,M9_002.tif:0775-0164,19733.333,546.667,2583.333,165.561,151.758,128.984,0.998,165.597,148.000,756.000,130.101,151.642,1.091,0.917,1.003
40,M9_002.tif:0698-0428,14333.333,1428.780,2328.871,155.165,117.615,34.031,0.972,155.317,409.333,711.667,33.917,117.458,1.319,0.758,1.004
41,M9_002.tif:0873-0410,14966.667,1368.804,2911.036,158.833,119.976,168.324,0.973,158.636,387.333,868.667,168.690,119.968,1.324,0.755,1.002
42,M9_002.tif:0957-0323,14533.333,1080.000,3191.014,136.621,135.443,90.000,0.996,136.337,311.123,941.446,129.026,136.337,1.009,0.991,0.996
43,M9_002.tif:1005-0263,19188.889,877.864,3351.080,170.715,143.116,28.255,0.990,170.981,240.667,1017.333,27.897,142.685,1.193,0.838,1.004
44,M9_002.tif:0172-0323,15977.778,1078.908,573.338,156.488,130.001,65.736,0.988,156.142,314.000,193.333,65.624,130.302,1.204,0.831,0.994
45,M9_002.tif:0367-0509,12322.222,1698.922,1224.375,137.007,114.514,171.130,0.990,137.023,489.333,364.333,171.607,114.347,1.196,0.836,0.996
46,M9_002.tif:0409-0512,18722.222,1709.127,1365.740,169.328,140.780,1.354,0.989,168.947,487.333,410.333,1.507,140.988,1.203,0.831,1.002
47,M9_002.tif:0347-0447,19655.556,1492.264,1157.885,173.328,144.386,40.868,0.987,173.305,428.000,364.333,40.840,144.625,1.200,0.833,0.999
48,M9_002.tif:0624-0584,17400.000,1950.000,2082.399,149.234,148.454,90.000,0.998,149.038,564.356,633.245,22.564,149.038,1.005,0.995,0.999
49,M9_002.tif:0708-0586,14500.000,1955.470,2362.057,135.950,135.800,62.872,1.000,135.847,580.965,689.104,106.248,135.847,1.001,0.999,0.999
50,M9_002.tif:0878-0581,16088.889,1938.918,2928.817,158.691,129.087,126.297,0.985,158.667,567.333,859.667,127.030,129.136,1.229,0.813,1.002
51,M9_002.tif:0523-0600,18777.778,2003.333,1745.000,165.360,144.585,151.298,0.992,165.496,579.000,512.000,152.403,144.678,1.144,0.874,0.996
52,M9_002.tif:0583-0665,19233.333,2219.240,1945.060,167.612,146.103,38.710,0.994,167.374,646.000,599.000,38.125,146.320,1.147,0.872,0.999
53,M9_002.tif:0521-0649,20133.333,2165.681,1737.500,166.612,153.857,60.704,0.997,166.416,637.500,543.000,60.611,154.309,1.083,0.923,1.001
54,M9_002.tif:0463-0637,20966.667,2125.804,1543.541,180.560,147.849,69.852,0.983,180.839,628.500,488.500,70.062,148.037,1.221,0.819,0.996
55,M9_002.tif:0413-0669,21088.889,2231.496,1379.050,169.658,158.266,84.243,0.999,169.517,666.500,439.000,83.224,158.404,1.072,0.933,0.999
56,M9_002.tif:0311-0760,25988.889,2534.895,1039.243,187.818,176.182,88.178,0.996,188.451,759.500,340.000,87.973,176.097,1.066,0.938,0.997
57,M9_002.tif:0272-0607,20966.667,2025.000,908.333,169.451,157.541,104.528,0.999,168.984,601.000,248.000,104.859,157.906,1.076,0.930,0.999
58,M9_002.tif:0270-0507,19900.000,1691.667,901.667,184.423,137.388,5.220,0.970,184.089,480.000,273.000,5.194,137.554,1.342,0.745,0.996
59,M9_002.tif:0228-0496,16722.222,1656.717,760.017,157.889,134.850,160.633,0.988,158.114,474.500,220.500,161.565,135.080,1.171,0.854,1.002
60,M9_002.tif:0196-0467,18055.556,1559.189,653.404,163.752,140.389,25.127,0.992,164.021,445.500,206.500,25.263,140.126,1.166,0.857,0.994
61,M9_002.tif:0111-0513,6566.667,1710.995,372.462,98.642,84.760,16.026,0.987,99.135,499.000,116.000,16.607,84.693,1.164,0.859,0.996
62,M9_002.tif:0134-0632,24700.000,2108.386,447.620,191.785,163.980,87.275,0.991,191.927,631.000,163.000,87.013,163.967,1.170,0.855,1.004
63,M9_002.tif:0022-0587,12888.889,1958.141,75.945,138.609,118.395,160.835,0.990,138.694,568.000,15.500,159.605,118.489,1.171,0.854,1.002
64,M9_002.tif:0021-0625,16411.111,2085.835,70.913,156.353,133.642,157.753,0.993,156.294,604.000,12.500,158.085,133.525,1.170,0.855,1.002
65,M9_002.tif:0024-0676,17788.889,2255.639,80.928,157.831,143.505,167.342,0.994,158.202,653.500,19.500,168.453,143.621,1.100,0.909,1.002
66,M9_002.tif:0128-0741,18944.444,2473.393,428.892,171.736,140.453,160.766,0.981,172.345,717.500,120.500,161.390,140.498,1.223,0.818,1.001
67,M9_002.tif:0097-0749,21011.111,2498.356,323.375,179.110,149.362,118.908,0.988,179.041,736.500,73.500,118.951,149.559,1.199,0.834,1.000
68,M9_002.tif:0026-0722,24166.667,2409.970,87.469,192.025,160.239,157.169,0.989,191.927,696.500,15.000,156.997,160.324,1.198,0.834,1.002
69,M9_002.tif:0546-0773,21988.889,2578.333,1821.667,177.578,157.661,122.305,0.993,177.795,760.000,523.500,120.411,157.923,1.126,0.888,1.011
70,M9_002.tif:0543-0727,21788.889,2423.360,1809.963,176.343,157.321,53.229,0.996,176.698,711.500,564.500,54.211,156.949,1.121,0.892,0.998
71,M9_002.tif:0592-0772,21022.222,2575.004,1974.956,167.043,160.236,85.313,0.999,167.199,770.500,617.500,85.426,160.303,1.042,0.959,1.005
72,M9_002.tif:0708-0788,19522.222,2629.113,2363.334,173.543,143.230,38.405,0.982,174.141,768.500,725.500,39.174,143.450,1.212,0.825,1.000
73,M9_002.tif:0618-0848,14888.889,2827.398,2061.577,141.949,133.548,142.869,0.999,142.019,831.000,606.000,144.071,133.511,1.063,0.941,1.001
74,M9_002.tif:0552-0825,15733.333,2753.402,1842.516,155.027,129.218,116.611,0.987,155.036,815.500,532.000,116.841,129.367,1.200,0.834,0.999
75,M9_002.tif:0445-0809,17933.333,2699.988,1484.209,165.157,138.253,73.751,0.989,165.067,803.000,469.000,73.578,138.324,1.195,0.837,1.004
76,M9_002.tif:0455-0856,23633.333,2855.749,1518.440,182.213,165.141,57.404,0.996,182.155,842.000,478.500,57.328,165.404,1.103,0.906,1.000
77,M9_002.tif:0388-0870,20800.000,2900.942,1296.814,176.311,150.208,55.830,0.990,176.580,855.500,411.000,56.160,150.175,1.174,0.852,0.999
78,M9_002.tif:0265-0793,20188.889,2645.000,885.000,169.311,151.823,136.699,0.994,169.771,775.000,248.000,136.591,151.664,1.115,0.897,1.001
79,M9_002.tif:0116-0788,14977.778,2629.154,386.489,145.719,130.871,165.202,0.993,146.335,767.500,110.500,165.489,130.728,1.113,0.898,0.998
80,M9_002.tif:0114-0831,22755.556,2773.333,381.667,190.936,151.744,19.254,0.984,190.817,805.000,124.000,19.385,151.414,1.258,0.795,1.002
81,M9_002.tif:0076-0816,15633.333,2721.667,255.000,151.361,131.506,158.305,0.997,151.033,795.500,68.000,157.964,131.325,1.151,0.869,1.001
82,M9_002.tif:0023-0775,22266.667,2585.760,77.926,181.041,156.599,157.460,0.986,181.246,751.000,12.000,155.556,157.595,1.156,0.865,0.993
83,M9_002.tif:0065-0951,27711.111,3170.806,219.955,201.413,175.176,1.757,0.990,201.777,921.000,67.000,1.893,175.447,1.150,0.870,1.001
84,M9_002.tif:0162-0834,16911.111,2780.802,542.521,172.351,124.931,175.151,0.962,172.321,808.500,160.500,175.006,125.039,1.380,0.725,0.996
85,M9_002.tif:0118-0985,23388.889,3285.925,395.010,192.778,154.477,87.325,0.978,193.513,984.500,147.500,87.532,154.499,1.248,0.801,1.003
86,M9_002.tif:0218-0987,27788.889,3292.564,726.570,210.452,168.123,149.290,0.980,210.667,960.500,202.000,149.580,168.195,1.252,0.799,0.998
87,M9_002.tif:0282-0971,14900.000,3237.521,943.258,161.170,117.709,144.209,0.964,161.392,951.500,269.000,144.669,117.613,1.369,0.730,1.006
88,M9_002.tif:0289-0946,15277.778,3154.275,964.891,154.895,125.584,130.928,0.986,154.749,931.000,272.000,131.070,125.476,1.233,0.811,0.996
89,M9_002.tif:0395-1000,11155.556,3335.800,1317.483,132.138,107.491,147.447,0.979,132.686,984.000,384.500,147.308,107.586,1.229,0.813,0.997
90,M9_002.tif:0350-1014,11866.667,3380.000,1166.667,135.627,111.402,178.487,0.980,136.829,993.500,349.000,177.207,110.946,1.217,0.821,1.004
91,M9_002.tif:0344-1106,18355.556,3688.333,1146.667,169.565,137.829,87.572,0.980,170.131,1105.500,369.500,87.754,137.948,1.230,0.813,0.998
92,M9_002.tif:0416-1042,18033.333,3475.869,1386.460,167.997,136.674,163.224,0.984,168.267,1018.500,409.000,163.899,136.437,1.229,0.814,0.996
93,M9_002.tif:0354-1059,21333.333,3532.547,1182.415,169.969,159.808,82.861,1.000,169.722,1056.500,380.000,82.666,159.625,1.064,0.940,1.001
