 ,Label,Area,X,Y,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,M6_002.tif,18824533.333,2560.000,1838.333,5777.301,4148.674,0.000,1.000,1891.006,0.000,0.000,144.318,1103.000,1.393,0.718,1.000
2,M6_002.tif:0006-0431,34911.111,1437.136,64.268,287.793,154.452,179.733,0.596,286.977,388.000,4.000,177.337,258.891,1.863,0.537,0.598
3,M6_002.tif:0193-0609,60200.000,2032.161,644.443,291.450,262.992,77.574,0.996,291.653,600.000,236.000,77.234,263.110,1.108,0.902,0.999
4,M6_002.tif:0287-0344,37644.444,1146.667,956.667,218.930,218.930,0.000,0.999,219.100,313.025,276.016,160.475,219.100,1.000,1.000,0.998
5,M6_002.tif:0292-0023,42677.778,92.298,974.578,259.243,209.606,82.951,0.876,257.634,2.000,324.667,55.899,240.622,1.237,0.809,0.879
6,M6_002.tif:0492-0031,59766.667,114.513,1641.493,298.984,254.520,80.077,0.921,297.280,8.000,530.667,58.449,277.650,1.175,0.851,0.923
7,M6_002.tif:0468-0211,65033.333,704.532,1562.099,297.811,278.039,170.137,0.996,298.142,167.333,460.667,169.695,278.531,1.071,0.934,0.999
8,M6_002.tif:0390-0173,50844.444,577.735,1301.251,281.701,229.808,62.884,0.983,282.257,154.000,428.000,62.830,229.709,1.226,0.816,0.999
9,M6_002.tif:0291-0423,42511.111,1410.085,972.366,241.889,223.767,156.010,0.998,241.661,390.000,276.667,155.556,224.021,1.081,0.925,1.000
10,M6_002.tif:0334-0585,38888.889,1950.000,1113.333,230.621,214.702,145.305,0.998,231.207,556.667,314.000,144.782,214.330,1.074,0.931,1.001
11,M6_002.tif:0330-0659,59911.111,2197.674,1102.135,286.905,265.876,146.790,0.996,287.217,623.333,307.000,146.679,266.252,1.079,0.927,0.998
12,M6_002.tif:0259-0647,57244.444,2157.836,864.455,297.213,245.231,33.287,0.987,297.089,610.000,283.667,33.096,245.414,1.212,0.825,0.998
13,M6_002.tif:0345-0485,55311.111,1617.691,1152.205,274.066,256.961,16.545,0.998,274.154,446.000,357.667,16.966,257.150,1.067,0.938,1.002
14,M6_002.tif:0453-0342,58911.111,1142.383,1512.455,274.182,273.570,46.758,1.000,274.298,311.333,480.333,40.400,273.656,1.002,0.998,1.002
15,M6_002.tif:0508-0482,63244.444,1607.682,1694.395,292.314,275.475,33.407,0.997,292.769,446.000,533.000,34.173,275.722,1.061,0.942,0.998
16,M6_002.tif:0575-0363,56833.333,1211.177,1916.695,300.821,240.550,148.746,0.981,301.076,324.667,551.667,148.891,240.547,1.251,0.800,1.000
17,M6_002.tif:0342-0374,46255.556,1249.995,1141.050,243.018,242.346,91.745,0.999,242.955,369.333,378.333,81.055,242.820,1.003,0.997,1.003
18,M6_002.tif:0642-0401,53188.889,1336.721,2141.166,281.269,240.774,61.008,0.991,281.460,380.667,679.333,61.209,240.753,1.168,0.856,0.998
19,M6_002.tif:0661-0519,62266.667,1731.052,2206.566,289.431,273.918,3.835,0.999,289.435,476.000,664.667,3.521,274.111,1.057,0.946,1.000
20,M6_002.tif:0544-0613,54911.111,2043.333,1816.667,287.722,242.995,55.287,0.988,287.844,588.667,580.667,55.697,243.430,1.184,0.845,0.995
21,M6_002.tif:0566-0552,41288.889,1841.011,1887.719,249.566,210.648,140.740,0.988,249.543,523.333,542.667,140.782,211.038,1.185,0.844,1.002
22,M6_002.tif:0474-0568,54322.222,1895.617,1583.335,285.912,241.911,109.986,0.989,286.115,554.000,434.667,109.983,241.967,1.182,0.846,1.005
23,M6_002.tif:0387-0631,42711.111,2105.695,1292.220,253.914,214.173,113.330,0.988,253.859,616.667,352.667,113.199,214.688,1.186,0.843,1.001
24,M6_002.tif:0349-0316,45422.222,1055.616,1165.449,261.668,221.018,69.191,0.989,261.657,302.667,386.333,69.102,221.283,1.184,0.845,1.001
25,M6_002.tif:0738-0709,36744.444,2366.745,2461.117,243.025,192.509,112.371,0.979,243.077,696.000,704.667,112.580,192.715,1.262,0.792,1.003
26,M6_002.tif:0745-0645,44077.778,2152.236,2486.712,263.015,213.378,171.314,0.983,263.059,606.667,740.000,171.254,213.663,1.233,0.811,1.001
27,M6_002.tif:0788-0585,46600.000,1950.039,2629.005,269.937,219.803,173.504,0.982,270.683,544.667,784.000,173.400,219.855,1.228,0.814,1.001
28,M6_002.tif:0560-0836,68933.333,2790.000,1868.333,298.510,294.023,122.533,0.998,298.757,811.000,524.000,125.463,294.591,1.015,0.985,0.999
29,M6_002.tif:0347-0779,41488.889,2600.000,1156.667,244.788,215.801,115.219,0.994,244.495,764.000,314.000,115.866,216.378,1.134,0.882,1.000
30,M6_002.tif:0430-0780,64488.889,2600.000,1436.667,294.878,278.454,96.631,0.999,295.221,775.000,387.000,96.483,278.251,1.059,0.944,1.001
31,M6_002.tif:0512-0744,80133.333,2481.667,1706.667,370.463,275.409,168.451,0.967,370.660,690.000,501.000,168.589,275.632,1.345,0.743,0.999
32,M6_002.tif:0681-0898,69177.778,2995.000,2270.000,298.790,294.789,137.137,0.998,299.351,867.000,649.000,134.549,295.024,1.014,0.987,0.999
33,M6_002.tif:0777-0768,56177.778,2560.000,2590.000,292.938,244.174,101.735,0.989,292.878,759.000,734.000,101.821,244.092,1.200,0.834,0.998
34,M6_002.tif:0881-0854,81755.556,2850.000,2936.667,381.571,272.805,70.539,0.959,381.634,836.000,935.000,70.615,272.973,1.399,0.715,0.997
35,M6_002.tif:0918-0691,45322.222,2305.000,3061.667,247.317,233.328,36.738,1.000,247.341,662.000,941.000,37.333,233.228,1.060,0.943,1.004
36,M6_002.tif:0750-0951,66666.667,3173.333,2501.667,309.904,273.900,129.537,0.993,309.857,922.000,715.000,130.200,274.415,1.131,0.884,0.998
37,M6_002.tif:0614-1004,37177.778,3350.000,2048.333,231.381,204.582,142.463,0.994,231.349,977.000,594.000,143.791,204.887,1.131,0.884,0.997
38,M6_002.tif:0483-0955,57366.667,3185.000,1611.667,287.099,254.412,134.807,0.993,287.557,925.000,453.000,135.000,254.666,1.128,0.886,1.002
39,M6_002.tif:0241-0902,54777.778,3010.000,806.667,280.447,248.694,113.436,0.992,281.030,887.000,203.000,112.306,248.885,1.128,0.887,0.996
40,M6_002.tif:0033-1034,52966.667,3449.474,118.393,270.024,249.753,45.613,0.939,284.117,1019.000,73.000,67.949,251.619,1.081,0.925,0.947
41,M6_002.tif:0128-1057,52844.444,3526.667,426.667,276.134,243.663,53.623,0.992,276.003,1033.000,161.000,52.853,244.434,1.133,0.882,0.998
42,M6_002.tif:0365-1107,43944.444,3691.667,1218.333,251.526,222.450,76.192,0.994,251.440,1098.000,402.000,75.411,222.680,1.131,0.884,0.998
43,M6_002.tif:0424-1050,51911.111,3503.333,1415.000,290.504,227.520,123.377,0.975,291.223,1027.000,388.000,123.326,227.622,1.277,0.783,0.997
44,M6_002.tif:0300-0978,38500.000,3261.667,1001.667,222.643,220.172,111.987,1.000,222.361,965.000,270.000,113.875,220.429,1.011,0.989,1.001
45,M6_002.tif:0225-0954,52222.222,3180.000,750.000,286.601,232.000,87.437,0.983,286.977,952.000,268.000,87.337,231.972,1.235,0.809,0.999
46,M6_002.tif:0304-0881,48666.667,2938.333,1016.667,273.394,226.648,170.398,0.985,274.003,841.000,298.000,170.194,226.612,1.206,0.829,1.001
47,M6_002.tif:0958-0964,69077.778,3216.687,3195.013,296.780,296.356,95.897,0.999,296.816,932.237,928.353,137.381,296.816,1.001,0.999,1.001
48,M6_002.tif:0564-0955,54488.889,3183.333,1881.667,291.613,237.909,51.328,0.983,292.062,928.000,599.000,51.953,237.928,1.226,0.816,1.004
49,M6_002.tif:0635-1080,51688.889,3600.000,2118.333,284.196,231.574,58.743,0.986,284.117,1058.000,672.000,58.921,231.456,1.227,0.815,1.002
50,M6_002.tif:0583-1046,58266.667,3490.000,1946.667,297.268,249.564,105.410,0.987,297.620,1035.000,541.000,105.593,249.756,1.191,0.840,1.001
51,M6_002.tif:0867-1143,57511.111,3813.333,2893.333,289.113,253.276,98.361,0.993,289.444,1138.000,825.000,97.943,253.163,1.141,0.876,0.999
52,M6_002.tif:0814-1260,52044.444,4200.000,2715.000,275.205,240.784,111.898,0.992,275.459,1245.000,776.000,111.286,240.932,1.143,0.875,0.998
53,M6_002.tif:0671-1229,49422.222,4098.333,2236.667,268.212,234.614,122.041,0.994,268.183,1208.000,637.000,122.307,234.568,1.143,0.875,0.999
54,M6_002.tif:0676-1157,63400.000,3860.000,2256.667,303.874,265.648,105.330,0.992,304.047,1146.000,633.000,105.255,265.936,1.144,0.874,1.001
55,M6_002.tif:0790-1136,37255.556,3788.333,2635.000,244.102,194.326,70.054,0.979,244.631,1124.000,825.000,70.084,194.189,1.256,0.796,1.000
56,M6_002.tif:0958-1357,59777.778,4526.667,3196.667,275.883,275.883,0.000,0.998,276.245,1320.369,976.346,24.747,276.245,1.000,1.000,0.999
57,M6_002.tif:1011-1129,46711.111,3763.333,3370.000,257.252,231.191,58.429,0.996,257.250,1109.000,1044.000,58.782,231.237,1.113,0.899,0.998
58,M6_002.tif:0419-1138,51577.778,3793.333,1398.333,279.902,234.621,144.499,0.991,279.384,1104.000,395.000,144.224,234.621,1.193,0.838,0.999
59,M6_002.tif:0885-1507,48555.556,5017.235,2952.451,278.620,221.889,70.444,0.918,281.671,1484.000,920.333,55.934,236.541,1.256,0.796,0.929
60,M6_002.tif:0257-0827,54655.556,2758.333,858.333,289.639,240.263,142.572,0.985,290.019,793.000,231.000,142.472,240.641,1.206,0.830,1.002
61,M6_002.tif:0939-0790,46622.222,2636.667,3133.333,266.648,222.620,109.000,0.986,267.748,778.000,902.000,108.886,222.161,1.198,0.835,1.001
62,M6_002.tif:0682-1001,60355.556,3336.667,2273.333,304.385,252.466,61.025,0.988,304.339,979.000,722.000,61.189,252.522,1.206,0.829,0.999
63,M6_002.tif:0618-0673,41066.667,2243.333,2061.667,251.076,208.254,59.624,0.988,250.976,654.000,651.000,59.689,208.245,1.206,0.829,1.001
64,M6_002.tif:0584-0763,34311.111,2546.667,1950.000,209.013,209.013,0.000,0.999,209.231,753.601,555.388,109.349,209.231,1.000,1.000,1.006
65,M6_002.tif:0509-0882,44733.333,2940.000,1698.333,256.454,222.091,134.650,0.991,256.926,855.000,482.000,134.474,222.007,1.155,0.866,1.001
